main_artist,track_name,streams
Metro Boomin,Trance (with Travis Scott & Young Thug),141595
Marshmello,Bye Bye,141487
Beyonc,PLASTIC OFF THE SOFA,139360
Harry Styles,Little Freak,138907
Juice WRLD,Cigarettes,138728
Brent Faiyaz,PRICE OF FAME,137309
Metro Boomin,On Time (with John Legend),136702
Mr JazziQ,Woza,136490
Classic Man SmF,Amour d'une mre,134931
Juice WRLD,In My Head,134654
Drake,Flight's Booked,133139
Harry Styles,Music For a Sushi Restaurant,133111
A-Reece,GODLIKE,132951
SZA,Blind,132492
Kelvin Momo,Umoya,132217
Shawn Mendes,When You're Gone,131358
Beyonc,HEATED,130785
Kabza De Small,Liyangishonela (feat. Nobuhle),130777
Benny The Butcher,Johnny P's Caddy,130698
Future,LOVE YOU BETTER,129719
The Weeknd,Gasoline,129676
Metro Boomin,Metro Spider (with Young Thug),129539
SZA,Nobody Gets Me,128531
Masked Wolf,Astronaut In The Ocean,128105
Farruko,Pepas,127615
Harry Styles,Daylight,127590
ThackzinDJ,Yini Sdakwa,127529
Kanye West,Bound 2,127233
Lil Baby,Freestyle,127136
DBN Gogo,UYATHANDEKA,125132
Kelvin Momo,Summer Rain,125113
Metro Boomin,Around Me (feat. Don Toliver),124938
Taylor Swift,Labyrinth,124918
Labrinth,All For Us,124628
Playboi Carti,Sky,124590
Eliza Rose,B.O.T.A. (Baddest Of Them All) - Edit,124193
OneRepublic,Counting Stars,123548
IShowSpeed,World Cup,123256
NAV,Never Sleep (with Lil Baby feat. Travis Scott),119632
Taylor Swift,Sweet Nothing,119072
Frank Ocean,Novacane,119039
Kelvin Momo,N'wana Wa Mutsonga,118669
A-Reece,For My Sanity,118467
Focalistic,3310,118230
Taylor Swift,Dont Blame Me,117978
benny blanco,Eastside (with Halsey & Khalid),117210
James Hype,Ferrari,116431
Billie Eilish,everything i wanted,115395
Metro Boomin,Feel The Fiyaaaah (with A$AP Rocky & feat. Takeoff),114369
Senior Oat,S'khanyisele,112758
SZA,Love Language,111309
Tyler ICU,"Ama Million (feat. Chley Nkosi, Freddy K & Toss)",111239
Ed Sheeran,Celestial,110746
Mellow & Sleazy,Back2School (feat. Thabza Tee & LastBorn Diroba),110317
21 Savage,Glock In My Lap,109907
Dlala Thukzin,Phuze (Remix) (Radio Edit),109868
Burna Boy,Different Size (feat. Victony),108259
Tevin Campbell,Can We Talk,108100
Drake,Intro,108080
Kelvin Momo,Imikhuleko,107678
Mellow & Sleazy,Umshini Ka Zuma (feat. M.J & Azi),107455
Kelvin Momo,Art Of Love,107271
SZA,SOS,106346
Brent Faiyaz,ROLLING STONE,106325
Mellow & Sleazy,"Sporofita (feat. 2woshort, LastbornDiroba, Al xapo & Sunde)",105718
Chris Brown,WE (Warm Embrace),105161
SZA,Low,104932
DJ Khaled,BIG TIME (feat. Future & Lil Baby),104549
Oliver Tree,Life Goes On,103704
The Weeknd,How Do I Make You Love Me?,103554
A-Reece,DEATH,103194
Ed Sheeran,The Joker And The Queen (feat. Taylor Swift),102818
SZA,Seek & Destroy,102402
Brent Faiyaz,"GRAVITY (FEAT. TYLER, THE CREATOR)",102098
The Weeknd,Take My Breath - Single Version,101614
LISA,MONEY,101574
Lewis Capaldi,Forget Me,101017
BTS,Yet To Come,100969
Riky Rick,You And I (feat. Mlindo The Vocalist),100515
SZA,Snooze,100042
Mr JazziQ,Bizaza (feat. DJ Biza & Zan'Ten),99597
Lil Baby,Real Spill,98618
Nobuhle,Malo We,98488
Beyonc,VIRGO'S GROOVE,98014
Kabza De Small,Azkhale (feat. Daliwonga),96688
Nasty C,Aye,95935
Vigro Deep,Petori to Ibiza,95467
SZA,Used (feat. Don Toliver),95188
Joji,Die For You,95010
Kelvin Momo,Blue Moon 2.0,94504
Russ,Are You Entertained (feat. Ed Sheeran),92702
The Weeknd,Take My Breath,92454
The Weeknd,"Here We Go Again (feat. Tyler, the Creator)",92364
Future,KEEP IT BURNIN (feat. Kanye West),91386
Bernice West,Sonop-Blom,91345
Beyonc,MOVE (feat. Grace Jones & Tems),90941
The Weeknd,Best Friends,90659
A-Reece,SOMETHING TO FIGHT FOR,90064
BTS,Run BTS,88897
Brent Faiyaz,WASTING TIME (FEAT. DRAKE & THE NEPTUNES),88742
Drake,Overdrive,88668
Kelvin Momo,Soweto Groove,87733
Lil Baby,Forever (feat. Fridayy),87046
Chris Brown,Possessive (feat. Lil Wayne & BLEU),86540
Steve Lacy,Dark Red,86435
Kelvin Momo,East & South,86279
Harry Styles,Satellite,85797
Harry Styles,Grapejuice,85256
Harry Styles,Love Of My Life,85045
RAYE,Escapism.,84781
DJ Khaled,USE THIS GOSPEL (feat. Ye & Eminem) - REMIX,84456
Labrinth,All For Us - from the HBO Original Series Euphoria,84454
Drake,Tie That Binds,84171
Blxckie,Khuphuka,83863
Brent Faiyaz,DEAD MAN WALKING,83124
SZA,Gone Girl,81888
Gaba Cannal,Dali Yim Lo,81695
The Chainsmokers,High,81641
Zuko SA,Qhawe lam,81368
Metro Boomin,Walk Em Down (Don't Kill Civilians) [with 21 Savage & feat. Mustafa],81328
JID,Dance Now (feat. Kenny Mason),81259
XXXTENTACION,SAD!,81118
SZA,Ghost in the Machine (feat. Phoebe Bridgers),80600
Billie Eilish,TV,80372
A-Reece,Red Dragon,80370
Busta 929,Gqoz Gqoz,80368
The Weeknd,Less Than Zero,80285
A-Reece,DIFFERENT THINGS,80264
Montell Fish,Hotel,80232
Leah Kate,10 Things I Hate About You,79866
Cat Burns,go,79704
Avicii,Wake Me Up,78977
Chris Brown,Till The Wheels Fall Off (feat. Lil Durk & Capella Grey),78917
Harry Styles,Cinema,78463
Lady Gaga,Bloody Mary,78308
Drake,Down Hill,78208
Davido,Champion Sound,78086
Yeat,Mony so big,77722
Wham!,Last Christmas,77435
J. Cole,MIDDLE CHILD,77182
Drake,Liability,76572
Chris Brown,C.A.B. (Catch A Body) (feat. Fivio Foreign),76566
Gunna,thought i was playing,76431
SZA,Notice Me,76278
Nicki Minaj,Bussin,76207
Jessica Darrow,"Surface Pressure - From ""Encanto""/Soundtrack Version",76011
Makhadzi,Zwafhela Zwofhela,75818
SZA,Special,75793
Sdala B,Khanyisa,75601
Kelvin Momo,Emaphupeni,75091
Sha Sha,"Fast Car (feat. Mellow & Sleazy, Mas Musiq & Soa mattrix)",75067
Metro Boomin,I Can't Save You (Interlude) [with Future & feat. Don Toliver],74978
Sir Trill,Maboko,74790
Emmy Meli,I AM WOMAN,74117
Chase Atlantic,Swim,73791
Lil Durk,What Happened To Virgil (feat. Gunna),73731
Brendan Peyper,Toer Om Die Vloer,73617
Gunna,mop (feat. Young Thug),73156
Coolio,Gangsta's Paradise,73153
Kelvin Momo,Tsonga Boy,72327
Kelvin Momo,Phumelela,71967
Giveon,Make You Mine,71643
Kususa,Asanda,71606
Tyga,Sunshine,71145
Lil Tjay,Beat the Odds,70786
Kordhell,Murder In My Mind,70314
SZA,Smoking on my Ex Pack,69967
Juice WRLD,Sometimes,69850
Baby Keem,lost souls (with Brent Faiyaz),69818
Sha Sha,Trying (feat. Musa Keys & DJ Maphorisa),69751
Lil Baby,In A Minute,69596
Roddy Ricch,Stop Breathing,69561
Elaine,You're the One,69501
Kelvin Momo,Ixesha,69356
Lady Du,Malunde,68889
Major Lazer,Koo Koo Fun,68652
Coi Leray,Blick Blick (with Nicki Minaj),68580
Gunna,poochie gown,68279
Justin Bieber,Honest (feat. Don Toliver),67528
Gunna,too easy,67000
Burna Boy,Ye,66119
Mr JazziQ,"Intsimbi Edlezinye (feat. M.J, F3 Dipapa & Toss)",65778
KSI,Not Over Yet (feat. Tom Grennan),65540
Future,712PM,65451
A-Reece,Can't Open My Eyez,65022
Sofia Carson,Come Back Home,65022
Mr JazziQ,Crows (feat. Zan'Ten & Kyika),65005
SZA,Good Days,64655
Omah Lay,Attention,64277
Metro Boomin,All The Money (with Gunna) [Bonus],63899
Kelvin Momo,Better Days,63483
Calvin Harris,Potion (with Dua Lipa & Young Thug),63275
SZA,Open Arms (feat. Travis Scott),62778
Glenn Jones,All for You,62757
The Weeknd,Dawn FM,62656
Machine Gun Kelly,maybe (feat. Bring Me The Horizon),62568
j-hope,MORE,62567
SZA,Conceited,62177
DJ Khaled,NO SECRET (feat. Drake),62173
Tyler ICU,"Numba (feat. Sir Trill, Young Stunna, Kabza De Small & DJ Maphorisa)",61581
Future,I'M DAT N****,61516
Blxckie,werrkk,61272
SZA,F2F,61135
Metro Boomin,Lock On Me (with Travis Scott & Future),61008
John Legend,Nervous,60290
Uncle Waffles,Love I Need,60260
Dj Obza,Sthandwa'sam,59776
Megan Thee Stallion,Sweetest Pie,59127
DJ Khaled,PARTY (feat. Quavo & Takeoff),57551
OneRepublic,Sunshine,57184
Brent Faiyaz,HEAL YOUR HEART (INTERLUDE),56857
The Weeknd,I Heard Youre Married (feat. Lil Wayne),56818
Nasty C,Loco,56679
Eminem,From The D 2 The LBC (with Snoop Dogg),56620
Brent Faiyaz,GHETTO GATSBY (FEAT. ALICIA KEYS),56597
Kelvin Momo,O'Ketsang,56464
Nasty C,Extravagant,56338
Beyonc,THIQUE,56295
Amaarae,SAD GIRLZ LUV MONEY (feat. Moliy & Kali Uchis) - Vigro Deep Amapiano Remix,56129
The Weeknd,Starry Eyes,55952
Mellow & Sleazy,Your Body (feat. DJ Maphorisa),55622
SZA,Far,55165
DJ Khaled,"KEEP GOING (feat. Lil Durk, 21 Savage & Roddy Ricch)",54303
SZA,Too Late,54020
Pharrell Williams,Down In Atlanta,53504
Southside,Hold That Heat (feat. Travis Scott),53451
Lauren Spencer-Smith,Flowers,53387
Kelvin Momo,Sena We,53356
Pcee,ZoTata (feat. Mr JazziQ),53256
Future,FOR A NUT (feat. Gunna & Young Thug),53142
Lil Baby,Pop Out (feat. Nardo Wick),52952
Lil Baby,Never Hating (feat. Young Thug),52694
Brent Faiyaz,VILLAIN'S THEME,52669
Brent Faiyaz,FYTB (FEAT. JOONY),52195
Beyonc,SUMMER RENAISSANCE,51842
Juice WRLD,All Girls Are The Same,51515
FelixThe1st,Own Brand Freestyle,51413
Lil Baby,Heyy,50952
Nasty C,What I Like,50868
DJ Khaled,LET'S PRAY (feat. Don Toliver & Travis Scott),50631
Kelvin Momo,Amaphupho,49723
Harry Styles,Daydreaming,49660
Harry Styles,Keep Driving,49303
Brent Faiyaz,ADDICTIONS (FEAT. Tre' Amani),49129
Kelvin Momo,Ngowam,49010
Lil Baby,Not Finished,48883
Will Linley,Last Call,48808
Beyonc,AMERICA HAS A PROBLEM,48400
Chris Brown,Addicted (feat. Lil Baby),48328
Mary J. Blige,Be Without You - Kendu Mix,48225
Beyonc,ALL UP IN YOUR MIND,48223
Beyonc,PURE/HONEY,48198
Kelvin Momo,Song Cry,48173
Kelvin Momo,Umkhenza,48130
DBN Gogo,POLO,48056
Brent Faiyaz,JACKIE BROWN,47955
Lil Baby,Stand On It,47918
Nasty C,B@r,47364
Brent Faiyaz,ROLE MODEL,47084
Kelvin Momo,Moonlight,46991
Harry Styles,Boyfriends,46809
The Walters,I Love You So,46730
Pusha T,Neck & Wrist (feat. JAY-Z & Pharrell Williams),46525
A-Reece,DREAMS,46499
WizKid,Essence (feat. Tems),46421
Giveon,This Will Do,45881
The Weeknd,A Tale By Quincy,45871
Gunna,alotta cake,45802
JIN,The Astronaut,45501
Future,MASSAGING ME,45494
Taylor Swift,Bigger Than The Whole Sky,45475
The Weeknd,Dont Break My Heart,45375
Kelvin Momo,Kuwe,45270
RM,Wild Flower (with youjeen),44923
Giveon,dec 11th,44741
Chris Brown,Closure (feat. H.E.R.),44635
Gunna,25k jacket (feat. Lil Baby),44271
Taylor Swift,"Would've, Could've, Should've",44236
Kelvin Momo,Sunday,44142
Nasty C,Can't Imagine (Bonus Track),43837
The Weeknd,Every Angel is Terrifying,43275
Giveon,Get To You,43203
Taylor Swift,The Great War,43111
Future,CHICKENS (feat. EST Gee),43079
Nasty C,Import,42831
A$AP Rocky,D.M.B.,42780
Brenda Lee,Rockin' Around The Christmas Tree,42457
Blxckie,plug call [freestyle],42236
Giveon,Tryna Be,42212
Future,GOLD STACKS,41900
Brent Faiyaz,SKIT: EGOMANIAC,41759
Brent Faiyaz,BAD LUCK,41689
Post Malone,Reputation,41460
Chris Brown,Sex Memories (feat. Ella Mai),41394
Chris Brown,Need You Right Here (feat. Bryson Tiller),41029
Kwesta,Is'pantsula (feat. Papta Mancane),40937
Dreamville,Stick (with JID & J. Cole feat. Kenny Mason & Sheck Wes),40852
Rihanna,Lift Me Up - Instrumental,40848
Gunna,private island,40621
K.O,MOSHITO,40602
DJ Khaled,Juice WRLD DID (feat. Juice WRLD),40454
Lloyiso,Let Me Love You Now,40403
Khuzani,Umuntu Onengane,40338
Blxckie,ronda,40170
DJ Khaled,IT AIN'T SAFE (feat. Nardo Wick & Kodak Black),40108
Lil Baby,Perfect Timing,40020
Giveon,Another Heartbreak,39868
Wizkid,2 Sugar (feat. Ayra Starr),39857
Die Heuwels Fantasties,Nora Vlok,39806
Nasty C,Let's Go,39785
Chris Brown,Pitch Black,39751
Nasty C,Stalling (Bonus Track),39719
Pusha T,Dreamin Of The Past (feat. Kanye West),39625
DJ Khaled,"FAM GOOD, WE GOOD (feat. Gunna & Roddy Ricch)",39441
Gunna,how you did that (feat. Kodak Black),39426
Blxckie,sss,39412
Michael Bubl,It's Beginning to Look a Lot like Christmas,39372
SZA,Forgiveless (feat. Ol' Dirty Bastard),39254
Q Twins,Sobonana,39229
Post Malone,Lemon Tree,39166
BLUE TAPE,FUCK THE WORLD!,39133
DJ Khaled,USE THIS GOSPEL (feat. Kanye West & Eminem) - REMIX,38816
Taylor Swift,Paris,38782
Kelvin Momo,Remedy,38647
A-Reece,More Than Enough,38636
Gunna,livin wild,38346
Zoocci Coke Dope,LiFT ME UP,37855
Makhadzi,Milandu Bhe,37840
Future,VOODOO (feat. Kodak Black),37801
Barto,Impulsief,37387
Selena Gomez,My Mind & Me,37337
Ariana Grande,Santa Tell Me,37262
Kendrick Lamar,HUMBLE.,37039
MashBeatz,Never Ride - Remix,36987
PinkPantheress,Boy's a liar,36851
Mas Musiq,Mthande,36782
9umba,Nayi Ingozi,36738
Rihanna,Stay - Album Version (Edited),36698
Jack Harlow,Young Harleezy,36643
Blxckie,investigate,36409
Giveon,july 16th,36275
Pabi Cooper,Isphithiphithi,36226
Polo G,Distraction,36223
A-Reece,Bellator,36184
Future,WE JUS WANNA GET HIGH,36128
Makhadzi,Ghanama,36056
031CHOPPA,Usenemali,35968
Future,BACK TO THE BASICS,35945
Post Malone,Wrapped Around Your Finger,35725
Nissi,Gravity (feat. Major League Djz),35626
Taylor Swift,High Infidelity,35596
Jack Harlow,I'd Do Anything To Make You Smile,35490
Gunna,you & me,35353
Burna Boy,Cloak & Dagger (feat. J Hus),35319
Kabza De Small,"Ngyamthanda (feat. Nicole Elocin, Phila Dlozi & Da Muziqal Chef)",35310
Cassper Nyovest,4 Steps Back,35282
Pusha T,Neck & Wrist (feat. JAY-Z & Pharrell),35143
Chris Brown,Show It (feat. Blxst),35090
Pusha T,Scrape It Off (feat. Lil Uzi Vert & Don Toliver),34982
Post Malone,I Cannot Be (A Sadder Song) (with Gunna),34952
Burna Boy,Science,34881
Bezza,Kennedy,34485
Post Malone,Wasting Angels (with The Kid LAROI),34405
DJ Khaled,WAY PAST LUCK (feat. 21 Savage),34251
Blxckie,together,34187
Wizkid,Money & Love,34137
Gunna,idk that bitch (feat. G Herbo),34029
Giveon,At Least We Tried,34021
Post Malone,Insane,33950
The Weeknd,Phantom Regret by Jim,33895
Burna Boy,Glory (feat. Ladysmith Black Mambazo),33880
Kwesta,Mrholo Wayizolo (feat. Masterpiece YVK & Papta Mancane),33779
Future,HOLY GHOST,33742
A-Reece,Live Once Interlude,33550
Billie Eilish,The 30th,33479
Kabza De Small,Skeem Saam (feat. Ami Faku),33362
Jack Harlow,Side Piece,33331
Brent Faiyaz,SKIT: OBLIVION,33290
Lojay,CANADA,33220
Gunna,south to west,33210
Pusha T,Diet Coke,33045
Pusha T,Rock N Roll (feat. Kanye West & Kid Cudi),33004
Blxckie,cry,32926
Burna Boy,On The Low,32889
Josiah De Disciple,Dala What You Must,32884
Kabza De Small,"Khuluma Imali (feat. Madumane, Toss & Felo Le Tee)",32620
Kygo,Woke Up in Love,32604
Riky Rick,Sidlukotini,32585
Lil Baby,From Now On (feat. Future),32293
Brent Faiyaz,ANGEL,32246
Chris Brown,Sleep At Night,32209
Chris Brown,Hmhmm (feat. EST Gee),32053
Abidoza,Diamond Walk,32038
Jack Harlow,Like A Blade Of Grass,31974
A-Reece,Intentions Interlude,31959
Taylor Swift,Glitch,31904
charlieonnafriday,Enough,31771
Khanyisa,Gyjima,31682
Big Zulu,Umuzi eSandton,31624
A-Reece,FRIEDay The 13th,31571
Kabza De Small,Bawo (feat. Nobuhle & Yallunder),31536
Blxckie,fortune teller,31478
Lil Baby,Detox,31434
De Mthuda,John Wick,31431
Nomfundo Moh,Sibaningi,31395
Future,Worst Day,31374
Lil Baby,Waterfall Flow,31361
Ed Sheeran,2step (feat. Lil Baby),31317
Lil Nas X,Late To Da Party (F*CK BET) (feat. YoungBoy Never Broke Again),31272
Jack Harlow,Movie Star (feat. Pharrell Williams),31204
Offset,54321,31197
Pusha T,Let The Smokers Shine The Coupes,30952
Lil Baby,Right On,30935
BLEU,Love In The Way,30861
Riky Rick,"Stay Shining (feat. Cassper Nyovest, Professor, Major League & Alie-Keyz)",30804
Pusha T,Just So You Remember,30756
Giveon,Unholy Matrimony,30656
Kendrick Lamar,All The Stars (with SZA),30622
Pusha T,Brambleton,30581
Burna Boy,Jagele,30573
Future,THE WAY THINGS GOING,30420
William Last KRM,Iy-Yi,30406
Giveon,Remind Me,30401
Camidoh,"Sugarcane (Remix) [feat. King Promise, Mayorkun & Darkoo]",30388
Brent Faiyaz,SKIT: WAKE UP CALL,30253
Dlala Regal,Dlala Captain - Edit,30232
Jack Harlow,Talk Of The Town,30148
Jung Kook,Stay Alive (Prod. SUGA of BTS),30100
Gunna,flooded,29999
Kehlani,Nights Like This (feat. Ty Dolla $ign),29967
Quavo,Nothing Changed,29954
Vigro Deep,Asijabule (feat. Murumba Pitch & Lady Du),29943
Stephen Sanchez,Until I Found You,29917
Post Malone,Love/Hate Letter To Alcohol (with Fleet Foxes),29911
DJ Jaivane,Ubusha Bethu,29883
Vetkuk,Kwamashu - Vetkuk Vs. Mahoota,29859
Kabza De Small,Kabza (feat. Murumba Pitch),29834
Smino,90 Proof (with J. Cole),29746
Makhadzi,Tsoko Tsoko,29724
Steve Lacy,Mercury,29692
Gaba Cannal,Indaba Zabantu,29685
A-Reece,First Time 4 Everything,29556
Burna Boy,Solid (feat. Blxst & Kehlani),29506
Machine Gun Kelly,ay! (feat. Lil Wayne),29363
Kendrick Lamar,Alright,29360
Lebza TheVillain,Sosha (feat. Sino Msolo & Toss),29298
BTS,For Youth,29254
Blxckie,weep,29130
Baby Keem,HONEST,29114
Gunna,too easy (Remix) [feat. Future & Roddy Ricch],29042
SZA,Love Galore (feat. Travis Scott),29025
Riky Rick,UNGAZINCISHI (feat. Focalistic & Tyler ICU),28994
Nkulee501,"ICARD (feat. Mpho Spizzy, Young Stunna & Housexcape)",28920
Alec Benjamin,Devil Doesnt Bargain,28885
Kelvin Momo,Sharp,28843
Makhadzi,Pain Ya Jealous,28836
Drake,Passionfruit,28719
j-hope,Arson,28684
Machine Gun Kelly,emo girl (feat. WILLOW),28571
Josiah De Disciple,The Warning,28510
Jack Harlow,Poison (feat. Lil Wayne),28378
Ed Sheeran,Bad Habits (feat. Bring Me The Horizon),28374
Stray Kids,MANIAC,28318
Blxckie,your all,28301
Kabza De Small,"Mutserendende (feat. Mr Brown, Jon Delinger & Da Muziqal Chef)",28295
Burna Boy,Bank On It,28230
Burna Boy,Kilometre,28222
BTS,Born Singer,28210
Gunna,die alone (feat. Yung Bleu),28144
Ice Spice,Munch (Feelin U),28106
Steve Lacy,Sunshine (feat. Foushe),28076
De Mthuda,33,28029
CKay,"WATAWI (feat. Davido, Focalistic & Abidoza)",28008
Burna Boy,Whiskey,27949
BLACKPINK,Typa Girl,27899
Kevin Gates,Thinking with My Dick (feat. Juicy J),27856
Normani,Fair,27852
Dj Boat,Izolo,27790
Jack Harlow,Parent Trap (feat. Justin Timberlake),27764
Khalid,Last Call,27566
Young Stunna,Shenta (feat. Nkulee501 & Skroef28),27492
Kehlani,up at night (feat. justin bieber),27317
Njelic,Wamuhle,27283
Burna Boy,Common Person,27271
Dzo 729,Ba Xolele - 729 Street Vocal,27250
Chris Brown,Dream,27247
Chris Brown,Passing Time,27203
Chle,Treat Me,27181
Machine Gun Kelly,make up sex (feat. blackbear),27138
Zoocci Coke Dope,PLUS+,26977
Jack Harlow,Lil Secret,26952
Gunna,Banking On Me,26849
Joey Bada$$,The Baddest,26782
A-Reece,"Couldn't Have Said It Better, Pt. 3",26739
TuksinSA,Tshivhidzwela Amapiano,26670
Chris Brown,Iffy,26634
uLazi,Gijima,26596
Dinky Kunene,Areyeng,26522
DJ Hlo,Mashamplan,26453
Riaan Benad,Haai Haai,26441
Tate McRae,chaotic,26220
Jack Harlow,I Got A Shot,26093
Kendrick Lamar,DNA.,26079
Nicole Elocin,Emoyeni (feat. Tyler ICU & Sawce),25958
XXXTENTACION,Moonlight,25933
Ricus Nel,Ploeg Jy?,25907
Musa Keys,Vula Mlomo,25799
Pusha T,Call My Bluff,25777
Dreamville,Freedom of Speech (with J. Cole),25692
Ed Sheeran,Thinking out Loud,25689
Tisto,Don't Be Shy,25641
Khanyisa,Bheka Mina Ngedwa,25552
Elaine,Shine,25535
TOTO,Africa,25496
Lil Durk,AHHH HA,25427
Bryan Adams,Summer Of '69,25423
Ntokzin,Sika Bopha,25374
Dj Boat,Sip (Alcohol),25227
Eminem,Godzilla (feat. Juice WRLD),25174
Mfr Souls,Konka,25117
Sam Smith,Love Me More,25058
Dominic Fike,"Elliot's Song - From ""Euphoria"" An HBO Original Series",24861
Eminem,"Lose Yourself - From ""8 Mile"" Soundtrack",24805
FATMAN,Vuil Coke,24798
Lil Durk,Petty Too (feat. Future),24796
Whitney Houston,I Wanna Dance with Somebody (Who Loves Me),24750
XXXTENTACION,vice city,24731
Juice WRLD,Wandered To LA (with Justin Bieber),24696
Dominic Fike,3 Nights,24692
Luude,Down Under (feat. Colin Hay),24608
Dr. Dre,Gospel (with Eminem),24574
Zoocci Coke Dope,OVERTURE+,24570
Cassper Nyovest,Summer Love - Edit,24398
Jay,My Volgende Fout,24357
Kabza De Small,Break,24260
Ricus Nel,Hardekole,24175
Majestic,Rasputin,24094
Kygo,Higher Love,24068
Black Eyed Peas,I Gotta Feeling,24018
Ntosh Gazi,Ubusuku Bayizolo,23992
Appel,Dina,23881
$NOT,Doja,23789
The Police,Every Breath You Take,23724
Lira,Feel Good - DJ Maphorisa Remix,23719
Imagine Dragons,Believer,23623
Juice WRLD,Already Dead,23604
UNLIMITED SOUL,Awoa,23475
Camila Cabello,psychofreak (feat. WILLOW),23328
Ricus Nel,Boerepompie (feat. Snotkop),23247
Beyonc,Halo,22702
Marcus MC,Eloyi,22388
Doja Cat,Ain't Shit,21893
INNOVATIVE DJz,Makukhanye,21646
