main_artist,streams
Drake,25689218
Kabza De Small,17581706
Kendrick Lamar,11464109
The Weeknd,11403640
Burna Boy,7960107
Wanitwa Mos,7675323
Harry Styles,7566970
Chris Brown,7538220
Ed Sheeran,7094190
Doja Cat,6955315
Post Malone,5664366
Giveon,5525614
Future,5412217
K.O,5305242
Felo Le Tee,5275694
Beyonc,5250641
Nomfundo Moh,4938129
Riaan Benad,4730301
Mas Musiq,4715557
Taylor Swift,4615323
Tisto,4562758
Glass Animals,4467662
Lil Nas X,4463501
Q-Mark,4402552
Jack Harlow,4280987
Justin Bieber,4272096
Mellow & Sleazy,3771936
Mr JazziQ,3740419
Busta 929,3728971
Young Stunna,3705773
9umba,3666717
SZA,3627648
DJ Maphorisa,3605976
The Kid LAROI,3588417
J. Cole,3581659
Elton John,3453233
Senior Oat,3452560
Adele,3441349
Lost Frequencies,3428628
Olivia Rodrigo,3308882
Summer Walker,3288837
Lloyiso,3260127
DBN Gogo,3241827
XXXTENTACION,3227490
Kelvin Momo,3213949
Imagine Dragons,3197274
Billie Eilish,3164912
Lewis Capaldi,3134360
Daliwonga,3127622
Uncle Waffles,3015639
Blxckie,2993034
DJ Khaled,2991197
Bryson Tiller,2961249
Sam Smith,2838358
Sam Deep,2767470
Musa Keys,2761081
OneRepublic,2614011
Reece Madlisa,2529276
Marshmello,2484785
Big Zulu,2418713
Miguel,2383499
Brent Faiyaz,2352384
Deep London,2322335
Metro Boomin,2307625
The Neighbourhood,2234734
Gunna,2221639
Konke,2213045
Kizz Daniel,2191675
Rema,2161942
Gaba Cannal,2125081
Fantasia,2100698
Ch'cco,2087527
Lil Baby,1990361
Steve Lacy,1961286
Pabi Cooper,1960588
Ruth B.,1916927
Venom,1880151
Major League Djz,1860205
Juice WRLD,1790432
Nicki Minaj,1762625
Eloff,1728736
Tate McRae,1721275
David Guetta,1708548
Joji,1698441
Tems,1674031
Elley Duh,1658897
Rihanna,1639547
Oxlade,1626367
Kanye West,1625606
Kate Bush,1615056
Soa Mattrix,1604086
Tom Odell,1603291
Samthing Soweto,1597713
Charlie Puth,1553396
Fireboy DML,1547191
James Arthur,1538866
AKA,1519847
Mariah Carey,1502926
Luxury SA,1473290
Makhadzi,1465628
A-Reece,1451986
Irene-Louise Van Wyk,1438263
Lizzo,1409669
Nicky Youre,1398112
Nasty C,1397155
Camila Cabello,1388378
Mario,1379312
GAYLE,1374086
Dave,1370980
Dj Karri,1350516
Muni Long,1337261
MacG,1327862
Dua Lipa,1255606
Soa mattrix,1243118
Lady Gaga,1227774
Myztro,1209072
Labrinth,1196075
Central Cee,1188395
Sleepy Hallow,1165039
Maroon 5,1134660
6LACK,1099362
Pheelz,1096087
Swedish House Mafia,1091574
Aymos,1084104
De Mthuda,1065537
CKay,1028435
Focalistic,1022609
Njelic,991973
Rosa Linn,980122
Fabolous,957717
H.E.R.,921888
ACRAZE,917612
Joel Corry,913772
Temple Boys Cpt,903002
Lojay,890556
DJ Ngwazi,889131
Quavo,888670
Zakes Bantwini,881873
Jaymes Young,877509
Baby Keem,873967
Lil Tjay,847710
Lwah Ndlunkulu,845481
Bruno Mars,843179
Khalid,834830
Lowsheen,833330
Frank Ocean,822908
Coldplay,806519
Goya Menor,798672
John Legend,779769
Dove Cameron,755574
Ayra Starr,731436
WILLOW,730718
Jay Music,726294
Armani White,722601
Lauren Spencer-Smith,721389
Robot Boii,714877
MEDUZA,704088
Meghan Trainor,702202
Q Twins,700203
BoyWithUke,688047
S'Villa,681641
Jason Derulo,671962
d4vd,669046
Oliver Tree,656036
Blaq Diamond,641849
Musketeers,631750
Drizzy Sam Rsa,625404
Journey,619682
JP Cooper,570518
Eminem,565709
Kodak Black,555505
Daniel Caesar,534739
Carolina Gaitn - La Gaita,531239
BLACKPINK,525360
JVKE,524913
Benson Boone,519859
Villosoul,509154
Lil Uzi Vert,506409
TALK,501928
TOSS,490429
Gabry Ponte,479210
Lil Yachty,458230
Tyler ICU,457665
24kGoldn,456132
Internet Money,445990
Will Linley,444007
Mzux Maen,438767
Riton,432206
Lucky Daye,415323
Pushkin RSA,408369
Shawn Mendes,397526
ESK MUSIQ,395572
MashBeatz,394092
Polo G,393253
The Game,388497
Karyendasoul,370137
Riky Rick,369842
BIA,367954
Jnr Choi,367330
Beach Weather,366532
Omar Apollo,362188
Tory Lanez,358503
Pusha T,340390
Yeat,337196
Travis Scott,336239
21 Savage,329289
THE ANXIETY,327462
GloRilla,313887
Em Beihold,311690
Cassper Nyovest,295146
Dean Lewis,294671
Bernice West,286807
Galantis,282184
Imanbek,271190
Arctic Monkeys,271159
benny blanco,268362
Barto,267447
King Monada,265966
Dodo Nyoka,265816
Boohle,261863
Kelly Khumalo,259708
Fivio Foreign,255747
Mduduzi Ncube,254936
Pharrell Williams,250541
Pushkin & Springle,250340
NEIKED,250130
Black Sherif,249196
BTS,247330
Coolkiid Da Vocalist,245906
PARTYNEXTDOOR,241185
evvz,238204
Becky Hill,228479
rum.gold,227657
Tyga,226524
Big Nuz,218247
Freddie Dredd,216933
Dr. Dre,215086
lil Shordie Scott,212781
Victony,211939
Amaarae,210663
MaWhoo,206274
Kamo Mphela,204515
Pushkin,204161
Frenzyoffixial,197363
HENNYBELIT,196152
Pop Smoke,192443
Costa Titch,182465
Tones And I,180714
Mneskin,180522
SAINt JHN,178318
Dlala Regal,177638
Murumba Pitch,176781
Jung Kook,172411
Yung Lean,164838
Panic! At The Disco,164807
ATB,158789
Seafret,153615
Droomsindroom,152629
Cardi B,149579
Machine Gun Kelly,147640
ThxSoMch,146055
Sha Sha,144818
Wendy Shay,143924
JP Saxe,142917
Kweyama Brothers,142625
Classic Man SmF,134931
Benny The Butcher,130698
Masked Wolf,128105
Farruko,127615
ThackzinDJ,127529
Vigro Deep,125410
Playboi Carti,124590
Eliza Rose,124193
Lil Durk,123954
IShowSpeed,123256
NAV,119632
James Hype,116431
Dlala Thukzin,109868
Tevin Campbell,108100
LISA,101574
Nobuhle,98488
Elaine,95036
Russ,92702
j-hope,91251
Zoocci Coke Dope,89402
RAYE,84781
The Chainsmokers,81641
Zuko SA,81368
JID,81259
Montell Fish,80232
Leah Kate,79866
Cat Burns,79704
Avicii,78977
Davido,78086
Wham!,77435
Jessica Darrow,76011
Sdala B,75601
Sir Trill,74790
Kwesta,74716
Emmy Meli,74117
Wizkid,73994
Chase Atlantic,73791
Brendan Peyper,73617
Ricus Nel,73329
Coolio,73153
Kususa,71606
Kordhell,70314
Roddy Ricch,69561
Lady Du,68889
Major Lazer,68652
Coi Leray,68580
Dreamville,66544
KSI,65540
Sofia Carson,65022
Omah Lay,64277
Calvin Harris,63275
Glenn Jones,62757
Josiah De Disciple,61394
Dj Obza,59776
Megan Thee Stallion,59127
Kehlani,57284
Khanyisa,57234
Kygo,56672
Southside,53451
Pcee,53256
Dj Boat,53017
FelixThe1st,51413
Dominic Fike,49553
Mary J. Blige,48225
The Walters,46730
WizKid,46421
JIN,45501
RM,44923
A$AP Rocky,42780
Brenda Lee,42457
Khuzani,40338
Die Heuwels Fantasties,39806
Michael Bubl,39372
BLUE TAPE,39133
Selena Gomez,37337
Ariana Grande,37262
PinkPantheress,36851
031CHOPPA,35968
Nissi,35626
Bezza,34485
Abidoza,32038
charlieonnafriday,31771
Offset,31197
BLEU,30861
William Last KRM,30406
Camidoh,30388
Stephen Sanchez,29917
DJ Jaivane,29883
Vetkuk,29859
Smino,29746
Lebza TheVillain,29298
Nkulee501,28920
Alec Benjamin,28885
Stray Kids,28318
Ice Spice,28106
Kevin Gates,27856
Normani,27852
Dzo 729,27250
Chle,27181
Joey Bada$$,26782
TuksinSA,26670
uLazi,26596
Dinky Kunene,26522
DJ Hlo,26453
Nicole Elocin,25958
TOTO,25496
Bryan Adams,25423
Ntokzin,25374
Mfr Souls,25117
FATMAN,24798
Whitney Houston,24750
Luude,24608
Jay,24357
Majestic,24094
Black Eyed Peas,24018
Ntosh Gazi,23992
Appel,23881
$NOT,23789
The Police,23724
Lira,23719
UNLIMITED SOUL,23475
Marcus MC,22388
INNOVATIVE DJz,21646
