predictions,actuals,diff
9,12,-3
11,15,-4
19,28,-9
20,26,-6
11,14,-3
6,1,5
19,19,0
3,1,2
4,2,2
6,6,0
4,4,0
1,1,0
24,28,-4
4,1,3
6,3,3
112,80,32
5,3,2
9,8,1
19,33,-14
1,1,0
7,5,2
57,46,11
3,4,-1
6,3,3
7,4,3
47,51,-4
5,5,0
-2,1,-3
3,1,2
4,4,0
81,93,-12
4,1,3
25,31,-6
3,1,2
19,22,-3
10,13,-3
7,5,2
11,14,-3
126,97,29
5,5,0
1,3,-2
5,4,1
21,23,-2
6,5,1
6,7,-1
-2,1,-3
-4,1,-5
-1,1,-2
1,2,-1
-4,1,-5
36,36,0
4,2,2
15,16,-1
58,24,34
0,2,-2
15,23,-8
0,2,-2
16,17,-1
14,14,0
-4,1,-5
1,2,-1
5,5,0
-8,1,-9
0,2,-2
18,18,0
-3,1,-4
24,22,2
2,2,0
4,3,1
9,11,-2
-1,1,-2
0,2,-2
6,4,2
15,19,-4
5,5,0
7,8,-1
7,8,-1
15,15,0
3,1,2
2,1,1
2,1,1
2,1,1
19,27,-8
19,27,-8
10,13,-3
4,3,1
25,42,-17
2,1,1
4,1,3
8,4,4
66,76,-10
66,76,-10
15,17,-2
9,7,2
4,1,3
21,22,-1
51,43,8
4,4,0
22,26,-4
10,8,2
4,1,3
12,12,0
4,1,3
6,4,2
7,2,5
5,1,4
6,1,5
6,2,4
6,1,5
11,9,2
7,2,5
6,1,5
13,19,-6
6,1,5
12,9,3
89,117,-28
90,117,-27
89,35,54
89,35,54
3,1,2
2,1,1
1,1,0
1,1,0
3,1,2
2,1,1
3,1,2
6,4,2
4,2,2
3,1,2
8,9,-1
5,5,0
4,3,1
24,29,-5
5,3,2
7,8,-1
3,1,2
5,3,2
4,2,2
5,3,2
8,8,0
20,26,-6
18,23,-5
19,24,-5
23,40,-17
12,23,-11
22,25,-3
6,6,0
6,7,-1
5,2,3
38,35,3
15,22,-7
12,15,-3
15,24,-9
24,32,-8
15,31,-16
17,22,-5
0,1,-1
18,27,-9
20,22,-2
15,17,-2
4,1,3
8,10,-2
36,28,8
25,29,-4
17,25,-8
26,27,-1
34,32,2
11,14,-3
16,22,-6
6,5,1
4,4,0
3,1,2
3,1,2
2,9,-7
26,42,-16
23,22,1
25,24,1
5,4,1
2,1,1
4,1,3
1,1,0
4,2,2
2,1,1
7,5,2
17,20,-3
4,1,3
3,1,2
15,14,1
46,37,9
2,2,0
2,1,1
12,9,3
1,1,0
0,1,-1
56,57,-1
3,1,2
0,1,-1
4,2,2
3,1,2
3,1,2
5,1,4
3,1,2
4,1,3
2,1,1
3,1,2
11,16,-5
27,28,-1
-7,2,-9
36,42,-6
19,24,-5
4,2,2
17,26,-9
14,15,-1
24,22,2
17,22,-5
42,39,3
7,8,-1
5,1,4
4,1,3
49,50,-1
38,51,-13
13,13,0
7,5,2
24,43,-19
8,14,-6
26,41,-15
29,23,6
5,1,4
9,5,4
5,1,4
5,1,4
6,1,5
184,146,38
10,12,-2
9,8,1
2,1,1
2,1,1
68,78,-10
30,53,-23
11,9,2
6,1,5
7,3,4
5,1,4
24,21,3
14,10,4
41,42,-1
3,2,1
4,2,2
3,2,1
3,1,2
2,1,1
3,1,2
3,1,2
1,1,0
1,1,0
3,2,1
16,19,-3
3,20,-17
2,1,1
12,13,-1
20,36,-16
3,1,2
7,4,3
7,4,3
7,5,2
11,10,1
32,26,6
9,5,4
11,13,-2
20,25,-5
4,1,3
46,67,-21
2,2,0
5,3,2
12,17,-5
5,1,4
3,26,-23
22,27,-5
2,4,-2
10,13,-3
2,1,1
7,8,-1
3,3,0
0,1,-1
12,14,-2
3,4,-1
2,1,1
27,33,-6
8,8,0
7,7,0
3,1,2
4,4,0
4,3,1
15,17,-2
5,2,3
29,37,-8
8,6,2
2,2,0
3,1,2
3,3,0
2,1,1
2,1,1
8,9,-1
8,10,-2
4,1,3
38,40,-2
6,3,3
29,28,1
-6,1,-7
8,9,-1
4,3,1
60,55,5
32,25,7
6,2,4
24,24,0
6,6,0
63,46,17
65,90,-25
7,7,0
5,6,-1
5,2,3
12,15,-3
10,13,-3
0,1,-1
5,5,0
2,1,1
3,2,1
2,1,1
2,2,0
4,3,1
4,3,1
3,2,1
1,1,0
3,1,2
4,3,1
0,1,-1
4,3,1
11,14,-3
2,1,1
3,5,-2
40,58,-18
47,46,1
47,44,3
5,4,1
28,28,0
1,2,-1
4,5,-1
27,30,-3
36,27,9
8,9,-1
11,14,-3
3,2,1
29,35,-6
2,3,-1
4,2,2
6,8,-2
2,1,1
4,1,3
3,1,2
1,2,-1
0,1,-1
29,62,-33
5,5,0
7,11,-4
5,5,0
4,2,2
5,4,1
8,8,0
0,2,-2
6,5,1
2,1,1
6,7,-1
13,17,-4
6,9,-3
6,9,-3
9,13,-4
29,30,-1
21,20,1
53,53,0
12,13,-1
3,1,2
3,2,1
3,1,2
2,1,1
4,1,3
4,1,3
5,1,4
26,52,-26
8,9,-1
6,7,-1
5,6,-1
2,1,1
5,3,2
21,24,-3
4,1,3
4,1,3
74,83,-9
9,13,-4
15,19,-4
3,2,1
3,2,1
9,10,-1
24,22,2
3,3,0
60,31,29
-3,1,-4
4,1,3
-2,1,-3
11,8,3
-5,1,-6
3,4,-1
51,76,-25
0,1,-1
4,3,1
1,1,0
3,3,0
-1,1,-2
2,2,0
17,16,1
-1,1,-2
0,2,-2
3,2,1
14,18,-4
30,40,-10
2,1,1
15,21,-6
9,13,-4
-4,1,-5
4,2,2
-2,1,-3
0,1,-1
0,1,-1
-2,1,-3
0,1,-1
0,2,-2
8,8,0
0,1,-1
2,3,-1
-3,1,-4
-5,1,-6
0,2,-2
2,1,1
5,4,1
2,2,0
2,2,0
0,1,-1
16,13,3
5,5,0
34,31,3
2,2,0
30,24,6
5,5,0
17,16,1
6,6,0
30,30,0
12,8,4
8,6,2
3,2,1
24,21,3
2,2,0
5,5,0
0,2,-2
4,3,1
4,3,1
3,4,-1
8,6,2
4,3,1
0,1,-1
2,2,0
-1,1,-2
4,3,1
13,8,5
-2,1,-3
-1,1,-2
0,1,-1
3,2,1
-4,1,-5
5,10,-5
5,5,0
1,1,0
1,1,0
6,6,0
3,4,-1
-4,1,-5
-2,1,-3
7,5,2
-1,1,-2
-3,1,-4
0,1,-1
2,2,0
-6,1,-7
8,6,2
-7,1,-8
2,1,1
0,1,-1
2,2,0
9,11,-2
4,5,-1
3,3,0
-3,1,-4
30,35,-5
15,11,4
1,1,0
15,18,-3
4,3,1
22,22,0
7,7,0
-4,1,-5
-8,1,-9
-6,1,-7
-8,1,-9
2,2,0
-7,1,-8
11,10,1
0,2,-2
-10,1,-11
3,2,1
4,3,1
6,4,2
-8,1,-9
-7,1,-8
1,2,-1
-5,1,-6
4,3,1
6,4,2
5,4,1
2,2,0
4,3,1
9,7,2
7,5,2
4,3,1
0,2,-2
2,2,0
19,19,0
25,37,-12
3,1,2
4,3,1
13,18,-5
2,1,1
3,1,2
4,1,3
4,1,3
8,9,-1
10,10,0
18,18,0
7,3,4
5,1,4
10,7,3
24,26,-2
103,180,-77
8,4,4
29,47,-18
5,1,4
9,6,3
7,5,2
5,2,3
6,1,5
11,8,3
6,1,5
4,1,3
7,1,6
6,1,5
53,48,5
5,1,4
9,6,3
10,8,2
22,17,5
10,8,2
15,15,0
130,189,-59
29,34,-5
15,11,4
26,34,-8
7,1,6
25,28,-3
26,28,-2
9,5,4
6,1,5
0,1,-1
4,1,3
3,1,2
4,2,2
0,2,-2
9,13,-4
6,6,0
15,16,-1
5,3,2
14,17,-3
7,6,1
7,5,2
17,19,-2
211,98,113
5,1,4
4,1,3
12,12,0
51,46,5
5,3,2
61,118,-57
58,100,-42
30,37,-7
141,143,-2
20,24,-4
46,79,-33
12,17,-5
31,26,5
5,4,1
6,5,1
22,26,-4
69,80,-11
-2,1,-3
21,18,3
4,2,2
4,2,2
303,182,121
2,1,1
70,82,-12
8,4,4
-6,1,-7
83,67,16
10,13,-3
-39,2,-41
-2,1,-3
3,3,0
5,2,3
5,2,3
0,1,-1
4,2,2
6,3,3
6,3,3
27,28,-1
4,2,2
2,2,0
6,3,3
51,63,-12
-6,1,-7
46,51,-5
44,53,-9
2,1,1
7,5,2
5,3,2
8,5,3
14,18,-4
1,1,0
24,19,5
7,3,4
22,24,-2
7,2,5
-1,1,-2
8,4,4
14,11,3
125,129,-4
39,102,-63
56,47,9
3,2,1
7,3,4
9,8,1
9,8,1
5,2,3
114,138,-24
31,43,-12
-4,1,-5
3,2,1
25,21,4
54,87,-33
4,2,2
7,2,5
10,5,5
0,1,-1
8,5,3
5,1,4
6,1,5
6,1,5
6,2,4
4,1,3
5,4,1
5,1,4
5,2,3
6,4,2
4,1,3
7,7,0
17,21,-4
17,21,-4
18,19,-1
8,8,0
5,6,-1
13,17,-4
13,12,1
20,20,0
30,39,-9
2,1,1
39,37,2
7,1,6
14,16,-2
69,72,-3
40,44,-4
3,2,1
10,16,-6
115,111,4
5,1,4
9,10,-1
9,14,-5
7,1,6
226,151,75
10,7,3
19,22,-3
6,7,-1
69,71,-2
6,5,1
3,1,2
6,7,-1
1,1,0
4,1,3
2,1,1
16,21,-5
6,5,1
6,2,4
1,1,0
8,2,6
9,2,7
47,72,-25
10,4,6
11,4,7
3,1,2
7,3,4
12,6,6
37,39,-2
89,90,-1
11,7,4
9,2,7
7,2,5
9,2,7
10,3,7
10,3,7
131,147,-16
131,147,-16
9,2,7
24,22,2
10,4,6
9,3,6
11,5,6
8,2,6
12,7,5
21,27,-6
134,228,-94
134,228,-94
91,76,15
6,4,2
1,3,-2
11,11,0
2,1,1
4,1,3
5,3,2
3,2,1
5,5,0
3,1,2
1,1,0
2,2,0
0,1,-1
4,2,2
3,1,2
4,1,3
0,1,-1
14,18,-4
14,18,-4
4,1,3
0,1,-1
4,1,3
4,1,3
7,7,0
9,10,-1
4,1,3
3,1,2
4,2,2
7,8,-1
14,20,-6
4,1,3
7,6,1
4,1,3
8,7,1
3,2,1
9,10,-1
3,2,1
13,14,-1
5,5,0
4,1,3
6,4,2
4,2,2
4,1,3
21,34,-13
5,3,2
9,9,0
3,1,2
5,2,3
6,4,2
3,1,2
6,3,3
4,1,3
17,32,-15
1,1,0
6,5,1
3,1,2
20,41,-21
3,1,2
3,1,2
5,5,0
4,2,2
4,4,0
18,18,0
6,3,3
5,4,1
4,1,3
5,2,3
4,1,3
13,14,-1
64,67,-3
2,1,1
5,4,1
5,2,3
-2,1,-3
1,1,0
5,1,4
-2,1,-3
1,3,-2
19,21,-2
0,1,-1
-2,1,-3
1,1,0
5,3,2
-3,1,-4
3,2,1
-4,1,-5
1,2,-1
0,1,-1
0,1,-1
6,6,0
3,1,2
0,1,-1
1,1,0
0,1,-1
4,2,2
-1,1,-2
0,2,-2
-1,1,-2
17,13,4
-1,1,-2
1,1,0
5,4,1
6,3,3
2,2,0
1,2,-1
3,1,2
3,1,2
2,1,1
4,2,2
3,1,2
3,1,2
3,1,2
3,1,2
4,1,3
3,2,1
3,1,2
3,1,2
2,1,1
3,1,2
1,1,0
4,4,0
5,5,0
6,1,5
71,119,-48
9,11,-2
6,6,0
3,1,2
7,8,-1
8,10,-2
7,8,-1
3,3,0
2,1,1
5,3,2
1,2,-1
0,2,-2
5,6,-1
20,24,-4
9,10,-1
0,1,-1
6,6,0
6,7,-1
14,23,-9
10,14,-4
78,42,36
4,5,-1
6,6,0
5,5,0
5,5,0
5,5,0
37,50,-13
14,14,0
24,31,-7
16,28,-12
13,18,-5
18,23,-5
4,1,3
6,4,2
9,12,-3
3,1,2
3,3,0
23,25,-2
12,18,-6
4,1,3
6,2,4
32,25,7
7,1,6
17,13,4
9,5,4
6,1,5
9,5,4
38,66,-28
5,1,4
5,1,4
6,77,-71
50,80,-30
7,2,5
23,38,-15
7,2,5
6,2,4
-1,1,-2
137,217,-80
39,72,-33
8,2,6
97,134,-37
12,10,2
0,1,-1
6,1,5
6,1,5
37,54,-17
5,1,4
6,1,5
138,163,-25
5,1,4
1,1,0
7,2,5
9,4,5
7,1,6
0,1,-1
5,2,3
5,1,4
51,70,-19
2,1,1
8,3,5
7,3,4
6,1,5
7,1,6
21,29,-8
5,1,4
0,1,-1
14,11,3
13,15,-2
57,56,1
8,11,-3
5,4,1
13,20,-7
17,20,-3
17,22,-5
17,22,-5
13,17,-4
17,32,-15
11,24,-13
20,21,-1
10,11,-1
4,6,-2
6,6,0
5,6,-1
4,4,0
5,3,2
9,12,-3
14,22,-8
33,20,13
10,12,-2
5,1,4
4,4,0
1,2,-1
7,10,-3
24,10,14
12,18,-6
2,1,1
7,5,2
2,3,-1
0,1,-1
0,1,-1
7,8,-1
9,12,-3
3,2,1
5,3,2
5,1,4
2,1,1
11,15,-4
12,13,-1
3,2,1
9,13,-4
4,3,1
3,1,2
32,35,-3
4,1,3
9,12,-3
5,6,-1
11,14,-3
7,7,0
9,12,-3
4,5,-1
0,2,-2
6,8,-2
6,7,-1
7,10,-3
0,2,-2
6,7,-1
4,1,3
6,6,0
8,10,-2
12,12,0
6,3,3
48,41,7
6,2,4
63,67,-4
12,11,1
10,12,-2
16,17,-1
6,4,2
20,27,-7
4,2,2
4,1,3
24,31,-7
7,6,1
3,1,2
5,4,1
14,15,-1
9,12,-3
5,1,4
19,23,-4
6,3,3
7,8,-1
7,6,1
8,7,1
13,12,1
10,9,1
20,20,0
57,55,2
69,82,-13
24,33,-9
28,46,-18
19,26,-7
9,11,-2
2,1,1
2,1,1
7,7,0
2,2,0
13,17,-4
13,17,-4
0,1,-1
11,8,3
5,1,4
90,95,-5
90,95,-5
6,2,4
16,13,3
7,5,2
10,10,0
5,2,3
15,23,-8
11,14,-3
69,84,-15
5,1,4
8,7,1
1,1,0
2,1,1
2,2,0
44,30,14
45,38,7
12,16,-4
21,20,1
8,9,-1
11,18,-7
4,2,2
2,2,0
1,1,0
4,4,0
-2,3,-5
3,1,2
6,6,0
11,14,-3
2,1,1
7,8,-1
4,4,0
2,4,-2
1,3,-2
1,1,0
3,3,0
3,1,2
1,1,0
4,2,2
36,47,-11
