predictions,actuals,diff
15,12,3
13,15,-2
24,28,-4
23,26,-3
12,14,-2
0,1,-1
18,19,-1
0,1,-1
1,2,-1
6,6,0
9,4,5
1,1,0
28,28,0
1,1,0
3,3,0
84,80,4
3,3,0
11,8,3
20,33,-13
1,1,0
5,5,0
57,46,11
6,4,2
2,3,-1
4,4,0
51,51,0
7,5,2
1,1,0
0,1,-1
7,4,3
94,93,1
1,1,0
30,31,-1
1,1,0
24,22,2
12,13,-1
5,5,0
16,14,2
124,97,27
4,5,-1
5,3,2
3,4,-1
26,23,3
8,5,3
7,7,0
1,1,0
1,1,0
0,1,-1
0,2,-2
1,1,0
34,36,-2
4,2,2
16,16,0
38,24,14
0,2,-2
19,23,-4
-3,2,-5
18,17,1
11,14,-3
1,1,0
3,2,1
5,5,0
0,1,-1
-4,2,-6
19,18,1
1,1,0
22,22,0
1,2,-1
4,3,1
7,11,-4
0,1,-1
-2,2,-4
5,4,1
20,19,1
6,5,1
5,8,-3
5,8,-3
15,15,0
0,1,-1
0,1,-1
0,1,-1
0,1,-1
26,27,-1
26,27,-1
12,13,-1
4,3,1
31,42,-11
0,1,-1
2,1,1
11,4,7
73,76,-3
73,76,-3
17,17,0
12,7,5
2,1,1
27,22,5
47,43,4
6,4,2
23,26,-3
9,8,1
1,1,0
13,12,1
2,1,1
4,4,0
6,2,4
1,1,0
1,1,0
4,2,2
1,1,0
11,9,2
5,2,3
1,1,0
14,19,-5
1,1,0
9,9,0
83,117,-34
83,117,-34
46,35,11
46,35,11
1,1,0
0,1,-1
1,1,0
1,1,0
0,1,-1
0,1,-1
0,1,-1
7,4,3
4,2,2
0,1,-1
10,9,1
4,5,-1
1,3,-2
26,29,-3
4,3,1
11,8,3
1,1,0
5,3,2
4,2,2
7,3,4
11,8,3
28,26,2
23,23,0
25,24,1
27,40,-13
12,23,-11
25,25,0
8,6,2
8,7,1
1,2,-1
37,35,2
20,22,-2
14,15,-1
19,24,-5
33,32,1
19,31,-12
24,22,2
0,1,-1
24,27,-3
23,22,1
20,17,3
0,1,-1
11,10,1
24,28,-4
29,29,0
24,25,-1
30,27,3
32,32,0
14,14,0
20,22,-2
5,5,0
11,4,7
1,1,0
1,1,0
2,9,-7
32,42,-10
26,22,4
21,24,-3
5,4,1
1,1,0
0,1,-1
1,1,0
5,2,3
1,1,0
7,5,2
20,20,0
0,1,-1
1,1,0
14,14,0
17,37,-20
1,2,-1
1,1,0
5,9,-4
1,1,0
1,1,0
56,57,-1
0,1,-1
0,1,-1
4,2,2
0,1,-1
0,1,-1
0,1,-1
0,1,-1
0,1,-1
0,1,-1
0,1,-1
16,16,0
27,28,-1
-8,2,-10
39,42,-3
22,24,-2
0,2,-2
21,26,-5
14,15,-1
23,22,1
20,22,-2
42,39,3
6,8,-2
2,1,1
2,1,1
50,50,0
46,51,-5
15,13,2
7,5,2
32,43,-11
6,14,-8
34,41,-7
23,23,0
2,1,1
9,5,4
2,1,1
2,1,1
1,1,0
181,146,35
9,12,-3
8,8,0
2,1,1
1,1,0
73,78,-5
38,53,-15
11,9,2
1,1,0
9,3,6
2,1,1
20,21,-1
9,10,-1
45,42,3
3,2,1
5,2,3
4,2,2
0,1,-1
1,1,0
0,1,-1
0,1,-1
1,1,0
0,1,-1
1,2,-1
22,19,3
0,20,-20
0,1,-1
13,13,0
28,36,-8
1,1,0
7,4,3
5,4,1
5,5,0
13,10,3
23,26,-3
14,5,9
15,13,2
23,25,-2
1,1,0
56,67,-11
2,2,0
5,3,2
18,17,1
0,1,-1
0,26,-26
26,27,-1
5,4,1
15,13,2
1,1,0
10,8,2
4,3,1
0,1,-1
15,14,1
3,4,-1
0,1,-1
33,33,0
11,8,3
8,7,1
0,1,-1
6,4,2
2,3,-1
16,17,-1
1,2,-1
36,37,-1
8,6,2
6,2,4
0,1,-1
5,3,2
0,1,-1
0,1,-1
11,9,2
11,10,1
0,1,-1
39,40,-1
4,3,1
28,28,0
-4,1,-5
10,9,1
3,3,0
64,55,9
28,25,3
1,2,-1
24,24,0
7,6,1
59,46,13
77,90,-13
9,7,2
4,6,-2
3,2,1
15,15,0
14,13,1
1,1,0
9,5,4
0,1,-1
4,2,2
0,1,-1
1,2,-1
1,3,-2
1,3,-2
2,2,0
1,1,0
0,1,-1
4,3,1
1,1,0
5,3,2
15,14,1
0,1,-1
9,5,4
51,58,-7
48,46,2
48,44,4
7,4,3
27,28,-1
3,2,1
5,5,0
30,30,0
9,27,-18
10,9,1
16,14,2
2,2,0
34,35,-1
4,3,1
3,2,1
8,8,0
0,1,-1
0,1,-1
0,1,-1
3,2,1
0,1,-1
33,62,-29
7,5,2
12,11,1
7,5,2
3,2,1
8,4,4
11,8,3
1,2,-1
9,5,4
0,1,-1
8,7,1
16,17,-1
11,9,2
11,9,2
13,13,0
29,30,-1
20,20,0
56,53,3
12,13,-1
0,1,-1
2,2,0
1,1,0
1,1,0
0,1,-1
1,1,0
1,1,0
29,52,-23
14,9,5
5,7,-2
7,6,1
1,1,0
4,3,1
24,24,0
1,1,0
1,1,0
84,83,1
12,13,-1
22,19,3
1,2,-1
4,2,2
8,10,-2
0,22,-22
-2,3,-5
29,31,-2
1,1,0
1,1,0
1,1,0
-8,8,-16
1,1,0
1,4,-3
61,76,-15
1,1,0
7,3,4
1,1,0
6,3,3
1,1,0
0,2,-2
15,16,-1
1,1,0
-2,2,-4
2,2,0
24,18,6
35,40,-5
1,1,0
22,21,1
17,13,4
1,1,0
6,2,4
1,1,0
1,1,0
1,1,0
1,1,0
1,1,0
-3,2,-5
16,8,8
1,1,0
0,3,-3
1,1,0
1,1,0
-1,2,-3
1,1,0
5,4,1
-3,2,-5
-2,2,-4
1,1,0
4,13,-9
-15,5,-20
20,31,-11
0,2,-2
11,24,-13
1,5,-4
4,16,-12
10,6,4
25,30,-5
-16,8,-24
-7,6,-13
4,2,2
14,21,-7
-2,2,-4
11,5,6
-3,2,-5
6,3,3
4,3,1
3,4,-1
-16,6,-22
-1,3,-4
1,1,0
-1,2,-3
1,1,0
0,3,-3
-21,8,-29
1,1,0
1,1,0
1,1,0
1,2,-1
1,1,0
11,10,1
-12,5,-17
1,1,0
1,1,0
6,6,0
-1,4,-5
1,1,0
1,1,0
0,5,-5
1,1,0
1,1,0
1,1,0
1,2,-1
1,1,0
-20,6,-26
1,1,0
1,1,0
1,1,0
2,2,0
14,11,3
0,5,-5
3,3,0
1,1,0
32,35,-3
0,11,-11
1,1,0
20,18,2
1,3,-2
0,22,-22
10,7,3
1,1,0
1,1,0
1,1,0
1,1,0
-2,2,-4
1,1,0
6,10,-4
-7,2,-9
1,1,0
0,2,-2
0,3,-3
6,4,2
1,1,0
1,1,0
-4,2,-6
1,1,0
-2,3,-5
0,4,-4
3,4,-1
-1,2,-3
-1,3,-4
5,7,-2
5,5,0
0,3,-3
-7,2,-9
-1,2,-3
15,19,-4
32,37,-5
0,1,-1
4,3,1
17,18,-1
1,1,0
0,1,-1
0,1,-1
0,1,-1
10,9,1
11,10,1
19,18,1
8,3,5
2,1,1
11,7,4
26,26,0
115,180,-65
6,4,2
36,47,-11
2,1,1
9,6,3
9,5,4
5,2,3
2,1,1
13,8,5
2,1,1
2,1,1
2,1,1
2,1,1
48,48,0
2,1,1
7,6,1
9,8,1
16,17,-1
9,8,1
14,15,-1
145,189,-44
32,34,-2
16,11,5
32,34,-2
2,1,1
27,28,-1
27,28,-1
8,5,3
2,1,1
0,1,-1
0,1,-1
0,1,-1
6,2,4
0,2,-2
13,13,0
8,6,2
17,16,1
4,3,1
17,17,0
5,6,-1
6,5,1
18,19,-1
185,98,87
1,1,0
1,1,0
14,12,2
49,46,3
2,3,-1
70,118,-48
70,100,-30
36,37,-1
160,143,17
21,24,-3
53,79,-26
18,17,1
28,26,2
4,4,0
4,5,-1
24,26,-2
81,80,1
2,1,1
17,18,-1
-4,2,-6
-1,2,-3
313,182,131
2,1,1
63,82,-19
6,4,2
2,1,1
92,67,25
0,13,-13
-13,2,-15
2,1,1
-7,3,-10
3,2,1
0,2,-2
2,1,1
0,2,-2
1,3,-2
4,3,1
24,28,-4
-1,2,-3
-7,2,-9
0,3,-3
59,63,-4
2,1,1
51,51,0
51,53,-2
2,1,1
6,5,1
3,3,0
4,5,-1
18,18,0
2,1,1
12,19,-7
4,3,1
24,24,0
5,2,3
2,1,1
6,4,2
1,11,-10
130,129,1
51,102,-51
54,47,7
-5,2,-7
4,3,1
10,8,2
8,8,0
0,2,-2
110,138,-28
37,43,-6
2,1,1
-3,2,-5
20,21,-1
67,87,-20
-2,2,-4
3,2,1
5,5,0
2,1,1
-1,5,-6
1,1,0
0,1,-1
0,1,-1
5,2,3
1,1,0
5,4,1
0,1,-1
1,2,-1
4,4,0
0,1,-1
9,7,2
24,21,3
24,21,3
20,19,1
9,8,1
7,6,1
15,17,-2
8,12,-4
20,20,0
36,39,-3
1,1,0
37,37,0
1,1,0
14,16,-2
78,72,6
46,44,2
3,2,1
15,16,-1
126,111,15
0,1,-1
11,10,1
8,14,-6
1,1,0
211,151,60
6,7,-1
21,22,-1
11,7,4
76,71,5
9,5,4
0,1,-1
5,7,-2
1,1,0
0,1,-1
1,1,0
23,21,2
4,5,-1
2,2,0
0,1,-1
0,2,-2
4,2,2
57,72,-15
10,4,6
8,4,4
2,1,1
-3,3,-6
9,6,3
40,39,1
76,90,-14
5,7,-2
4,2,2
2,2,0
2,2,0
7,3,4
7,3,4
139,147,-8
139,147,-8
4,2,2
23,22,1
9,4,5
6,3,3
12,5,7
2,2,0
11,7,4
28,27,1
170,228,-58
170,228,-58
88,76,12
4,4,0
3,3,0
9,11,-2
0,1,-1
0,1,-1
5,3,2
4,2,2
7,5,2
0,1,-1
1,1,0
0,2,-2
0,1,-1
4,2,2
1,1,0
0,1,-1
1,1,0
20,18,2
20,18,2
0,1,-1
1,1,0
0,1,-1
0,1,-1
9,7,2
14,10,4
0,1,-1
1,1,0
4,2,2
9,8,1
22,20,2
0,1,-1
10,6,4
0,1,-1
10,7,3
1,2,-1
13,10,3
1,2,-1
13,14,-1
7,5,2
1,1,0
9,4,5
5,2,3
1,1,0
28,34,-6
5,3,2
12,9,3
1,1,0
5,2,3
9,4,5
1,1,0
6,3,3
1,1,0
22,32,-10
1,1,0
9,5,4
1,1,0
26,41,-15
1,1,0
0,1,-1
7,5,2
3,2,1
6,4,2
19,18,1
3,3,0
6,4,2
1,1,0
4,2,2
1,1,0
14,14,0
68,67,1
1,1,0
4,4,0
1,2,-1
1,1,0
1,1,0
0,1,-1
1,1,0
4,3,1
20,21,-1
1,1,0
1,1,0
1,1,0
5,3,2
1,1,0
1,2,-1
1,1,0
0,2,-2
1,1,0
1,1,0
10,6,4
1,1,0
1,1,0
0,1,-1
1,1,0
3,2,1
1,1,0
1,2,-1
1,1,0
12,13,-1
1,1,0
1,1,0
1,4,-3
8,3,5
3,2,1
2,2,0
0,1,-1
0,1,-1
0,1,-1
4,2,2
0,1,-1
0,1,-1
0,1,-1
0,1,-1
0,1,-1
3,2,1
0,1,-1
0,1,-1
0,1,-1
0,1,-1
0,1,-1
7,4,3
4,5,-1
0,1,-1
84,119,-35
12,11,1
6,6,0
0,1,-1
7,8,-1
11,10,1
12,8,4
3,3,0
0,1,-1
6,3,3
2,2,0
2,2,0
8,6,2
27,24,3
11,10,1
0,1,-1
8,6,2
5,7,-2
19,23,-4
13,14,-1
51,42,9
6,5,1
6,6,0
4,5,-1
6,5,1
5,5,0
42,50,-8
14,14,0
33,31,2
22,28,-6
15,18,-3
25,23,2
0,1,-1
5,4,1
12,12,0
0,1,-1
1,3,-2
27,25,2
17,18,-1
2,1,1
4,2,2
22,25,-3
2,1,1
11,13,-2
7,5,2
2,1,1
9,5,4
50,66,-16
2,1,1
2,1,1
2,77,-75
62,80,-18
4,2,2
32,38,-6
3,2,1
4,2,2
2,1,1
161,217,-56
50,72,-22
3,2,1
103,134,-31
14,10,4
2,1,1
2,1,1
2,1,1
40,54,-14
2,1,1
2,1,1
132,163,-31
2,1,1
2,1,1
6,2,4
9,4,5
2,1,1
2,1,1
2,2,0
2,1,1
61,70,-9
2,1,1
8,3,5
8,3,5
2,1,1
2,1,1
28,29,-1
2,1,1
2,1,1
13,11,2
17,15,2
55,56,-1
11,11,0
3,4,-1
19,20,-1
21,20,1
25,22,3
25,22,3
20,17,3
18,32,-14
16,24,-8
22,21,1
11,11,0
7,6,1
7,6,1
9,6,3
4,4,0
3,3,0
11,12,-1
18,22,-4
12,20,-8
17,12,5
0,1,-1
4,4,0
1,2,-1
14,10,4
-37,10,-47
15,18,-3
0,1,-1
7,5,2
5,3,2
1,1,0
1,1,0
11,8,3
15,12,3
3,2,1
4,3,1
0,1,-1
0,1,-1
17,15,2
13,13,0
1,2,-1
10,13,-3
3,3,0
1,1,0
34,35,-1
0,1,-1
9,12,-3
5,6,-1
14,14,0
6,7,-1
12,12,0
6,5,1
1,2,-1
12,8,4
10,7,3
17,10,7
2,2,0
7,7,0
0,1,-1
6,6,0
9,10,-1
12,12,0
6,3,3
42,41,1
4,2,2
60,67,-7
13,11,2
10,12,-2
17,17,0
8,4,4
28,27,1
2,2,0
0,1,-1
33,31,2
8,6,2
0,1,-1
5,4,1
15,15,0
10,12,-2
0,1,-1
22,23,-1
7,3,4
8,8,0
8,6,2
9,7,2
13,12,1
13,9,4
20,20,0
58,55,3
75,82,-7
30,33,-3
32,46,-14
27,26,1
13,11,2
0,1,-1
0,1,-1
6,7,-1
3,2,1
18,17,1
18,17,1
0,1,-1
5,8,-3
1,1,0
94,95,-1
94,95,-1
5,2,3
11,13,-2
6,5,1
13,10,3
5,2,3
21,23,-2
10,14,-4
81,84,-3
1,1,0
9,7,2
0,1,-1
0,1,-1
5,2,3
35,30,5
43,38,5
18,16,2
21,20,1
11,9,2
15,18,-3
1,2,-1
2,2,0
1,1,0
2,4,-2
0,3,-3
0,1,-1
9,6,3
16,14,2
0,1,-1
9,8,1
4,4,0
8,4,4
4,3,1
1,1,0
3,3,0
0,1,-1
0,1,-1
1,2,-1
46,47,-1
