original_name,match_name,score,match_index
kendrick lamar under exclus licens to interscop record,kendrick lamar under exclus licens to interscop record,100.0,36481
major record,major record,100.0,36725
warner recordsmajor record,warner recordsmajor record,100.0,36729
beeskraal cowpunk,beeskraal cowpunk,100.0,36754
bread winner associationatlant,bread winner associationatlant,100.0,36756
good shepherd product,good shepherd product,100.0,36757
right hand music group llcrca record,right hand music group llcrca record,100.0,36758
superstar studio,superstar studio,100.0,37499
4397321 record dk,4397321 record dk,100.0,37528
uniti music africa,uniti music africa,100.0,37673
5932550 record dk,5932550 record dk,100.0,37714
soweto music entertain academi,soweto music entertain academi,100.0,37802
killorbeez record,killorbeez record,100.0,37827
wuhn shot entertain,wuhn shot entertain,100.0,37873
modana entertain,modana entertain,100.0,37877
king monada music,king monada music,100.0,37886
moreki music,moreki music,100.0,37914
zelig record llccolumbia record,zelig record llccolumbia record,100.0,37948
flyboy empir,flyboy empir,100.0,38018
empir,empir,100.0,38061
apg ff10,apg ff10,100.0,38094
atlanticsnip gang,atlanticsnip gang,100.0,38101
nazma,nazma,100.0,38159
tayo project the t effect,tayo project the t effect,100.0,38200
kordhel,kordhel,100.0,38217
so vinci,so vinci,100.0,38263
dope dream,dope dream,100.0,38269
sundanc music,sundanc music,100.0,38306
kygo,kygo,100.0,38379
palm tree recordsrca record,palm tree recordsrca record,100.0,38441
kygorca record,kygorca record,100.0,38537
thi ai nt bristol,thi ai nt bristol,100.0,38863
limit nala music,limit nala music,100.0,38875
lloud corca record,lloud corca record,100.0,38958
masterwork,masterwork,100.0,38986
ladi du entertain,ladi du entertain,100.0,39106
wa waemexte,wa waemexte,100.0,39109
a star is born ost,a star is born ost,100.0,39124
centric musicwarn record,centric musicwarn record,100.0,39506
three name product island record republ record,three name product island record republ record,100.0,39545
lauv,lauv,100.0,39567
artist partner group,artist partner group,100.0,39934
leah kate under exclus licens to 10k project mddn,leah kate under exclus licens to 10k project mddn,100.0,39941
villain musiq,villain musiq,100.0,39944
villain musiq top tier music empir,villain musiq top tier music empir,100.0,39945
villain musiq empir,villain musiq empir,100.0,39946
integr music,integr music,100.0,39948
indigen tune,indigen tune,100.0,39951
salani record,salani record,100.0,39954
str8 reload,str8 reload,100.0,39973
roy bulkin music,roy bulkin music,100.0,39977
ezmni recordsmotown record,ezmni recordsmotown record,100.0,39980
syco music,syco music,100.0,39987
vertigo berlin,vertigo berlin,100.0,39993
qualiti control musicmotown record,qualiti control musicmotown record,100.0,40666
qualiti control musicyoung stoner life record a 300 entertain labelmotown recordscapitol record,qualiti control musicyoung stoner life record a 300 entertain labelmotown recordscapitol record,100.0,40673
qualiti controlmotown record,qualiti controlmotown record,100.0,40792
qualiti control music carolin,qualiti control music carolin,100.0,40795
qualiti control musicalamo recordsmotown record,qualiti control musicalamo recordsmotown record,100.0,40826
commissionbmg,commissionbmg,100.0,40916
alamo,alamo,100.0,40950
lil mabu,lil mabu,100.0,40997
mogul visioninterscop record,mogul visioninterscop record,100.0,41009
all we got,all we got,100.0,41522
galact recordslil tecca,galact recordslil tecca,100.0,41526
galact republ record,galact republ record,100.0,41527
galact recordsrepubl record,galact recordsrepubl record,100.0,41543
sped up nightcor,sped up nightcor,100.0,41815
young money record,young money record,100.0,41849
cmrepubl,cmrepubl,100.0,41886
qualiti control musicmotown recordscapitol record,qualiti control musicmotown recordscapitol record,100.0,41933
lindough,lindough,100.0,41991
otarel music,otarel music,100.0,42010
lith,lith,100.0,42011
liwn361,liwn361,100.0,42038
the whole time entertain,the whole time entertain,100.0,42044
nice lifeatlant,nice lifeatlant,100.0,42049
harbour artist music,harbour artist music,100.0,42173
ig record incunivers record,ig record incunivers record,100.0,42185
punyet premier leagu,punyet premier leagu,100.0,42514
koratori,koratori,100.0,42621
metal music1789,metal music1789,100.0,42622
play it again sam,play it again sam,100.0,42678
univers music new zealand limit,univers music new zealand limit,100.0,42777
found frequenc,found frequenc,100.0,42780
epic amsterdam,epic amsterdam,100.0,42781
armada music,armada music,100.0,42891
loui the child interscop,loui the child interscop,100.0,43005
keep coolrca record,keep coolrca record,100.0,43033
beja music,beja music,100.0,43078
nineleven music,nineleven music,100.0,43079
sweat it out,sweat it out,100.0,43094
luxuri entertain,luxuri entertain,100.0,43095
colour vision recordssoni music entertain,colour vision recordssoni music entertain,100.0,43479
menzi music product,menzi music product,100.0,43748
columbiam2v,columbiam2v,100.0,43807
asant music,asant music,100.0,43809
mawhoo,mawhoo,100.0,43862
mawhoo entertain,mawhoo entertain,100.0,43885
goldproduct,goldproduct,100.0,44045
m2n servic,m2n servic,100.0,44046
bad boyinterscop record,bad boyinterscop record,100.0,44069
bad boy interscop,bad boy interscop,100.0,44077
access record,access record,100.0,44126
epics it loud,epics it loud,100.0,44132
madisonamerican recordingsrepubl,madisonamerican recordingsrepubl,100.0,44141
4713726 record dk,4713726 record dk,100.0,44146
kalawa jazme,kalawa jazme,100.0,44159
nitron music,nitron music,100.0,44246
major key record,major key record,100.0,44262
third parde record,third parde record,100.0,44280
major lazer record,major lazer record,100.0,44281
mad decent,mad decent,100.0,44282
major leagu music under exclus licens to empawa africa limit,major leagu music under exclus licens to empawa africa limit,100.0,44324
makhadzi entertain,makhadzi entertain,100.0,44491
emi south africa,emi south africa,100.0,44666
vatic space,vatic space,100.0,44667
ujuu record,ujuu record,100.0,44668
columbia nashvil,columbia nashvil,100.0,44703
one umbrellarca record,one umbrellarca record,100.0,44908
j recordslegaci,j recordslegaci,100.0,44910
hundr day record,hundr day record,100.0,45248
interscop record,interscop record,100.0,2203
monstercat,monstercat,100.0,45698
astralwerk,astralwerk,100.0,45702
joytim collectivegrad a productionsinterscop record,joytim collectivegrad a productionsinterscop record,100.0,45760
joytim collect,joytim collect,100.0,45822
marshmellorepubl,marshmellorepubl,100.0,45969
joytim collectiverca record,joytim collectiverca record,100.0,46108
marshmello tongu tie ft yungblud blackbear,marshmello tongu tie ft yungblud blackbear,100.0,46289
joytim collectiverca recordseffect record,joytim collectiverca recordseffect record,100.0,46293
joytim collectivecolumbia,joytim collectivecolumbia,100.0,46294
eqt recordingscapitol record,eqt recordingscapitol record,100.0,46769
outtathisworld,outtathisworld,100.0,46784
mashudu mosoeu,mashudu mosoeu,100.0,46797
3446464 record dk,3446464 record dk,100.0,46798
muji record,muji record,100.0,46929
one fifti empir gamma,one fifti empir gamma,100.0,46986
mmgatlant,mmgatlant,100.0,47065
ski heaven pti,ski heaven pti,100.0,47159
hot girl product,hot girl product,100.0,47218
mellow and sleazi pti,mellow and sleazi pti,100.0,47569
leparalatipa,leparalatipa,100.0,47944
kombelani,kombelani,100.0,47977
aurora black,aurora black,100.0,47978
mayhem oper,mayhem oper,100.0,48026
no dout record,no dout record,100.0,48027
143repris,143repris,100.0,48058
repris,repris,100.0,48068
epiclegaci,epiclegaci,100.0,48099
mid9t,mid9t,100.0,48143
north west sound record,north west sound record,100.0,48158
qualiti control music,qualiti control music,100.0,12617
bystorm entertainmentrca record,bystorm entertainmentrca record,100.0,48275
monster mountain island,monster mountain island,100.0,48694
mike will madeit,mike will madeit,100.0,48695
creed 2 soundtrack,creed 2 soundtrack,100.0,48699
dead ocean,dead ocean,100.0,48865
3262181 record dk,3262181 record dk,100.0,48889
bula music,bula music,100.0,49098
black circl empir,black circl empir,100.0,49099
lord s child,lord s child,100.0,49102
raptur music group,raptur music group,100.0,49104
big loud record mercuri record republ record,big loud record mercuri record republ record,100.0,49105
black is brown prime hold consult,black is brown prime hold consult,100.0,49212
black is brown entertain,black is brown entertain,100.0,49215
tronic land,tronic land,100.0,49429
left lane record,left lane record,100.0,49441
altblk oneshushuday,altblk oneshushuday,100.0,49443
insika yethonga,insika yethonga,100.0,49456
lushazi project manag,lushazi project manag,100.0,49552
global medium group,global medium group,100.0,49584
mthandeni music product,mthandeni music product,100.0,49595
supergi record def jam record,supergi record def jam record,100.0,49773
muni long def jam,muni long def jam,100.0,49835
murumba pitch,murumba pitch,100.0,49862
tayo project,tayo project,100.0,49945
key record,key record,100.0,49946
music jazz entertain,music jazz entertain,100.0,50076
muskat,muskat,100.0,50099
10 summer recordsinterscop record,10 summer recordsinterscop record,100.0,50122
matjita entamana ka music,matjita entamana ka music,100.0,50218
baqazil entertain,baqazil entertain,100.0,50396
vill record,vill record,100.0,50455
i am othercolumbia,i am othercolumbia,100.0,50470
xo record republ record,xo record republ record,100.0,50484
xo record and republ record,xo record and republ record,100.0,50487
nf real music ii,nf real music ii,100.0,50522
nf real music,nf real music,100.0,50523
no love entertain,no love entertain,100.0,50674
loxion record,loxion record,100.0,50700
emiemi record usa,emiemi record usa,100.0,50757
naleboy music,naleboy music,100.0,50780
naledi aphiw,naledi aphiw,100.0,50786
durban base entertain,durban base entertain,100.0,50857
stena academi,stena academi,100.0,50867
mass appeal,mass appeal,100.0,50918
mass appeal na,mass appeal na,100.0,50919
coke studio africa,coke studio africa,100.0,51143
capitol catalog mkt c92,capitol catalog mkt c92,100.0,51196
soni music cg,soni music cg,100.0,51222
execut lab,execut lab,100.0,51282
isekai record,isekai record,100.0,51285
indumezulu music,indumezulu music,100.0,51301
def soul,def soul,100.0,51316
milkshak,milkshak,100.0,51319
nemzzz,nemzzz,100.0,51320
dream out loud entertain,dream out loud entertain,100.0,51321
young moneycash money record,young moneycash money record,100.0,51406
nicki minajcash money,nicki minajcash money,100.0,51422
thirti knotscolumbia,thirti knotscolumbia,100.0,51620
drumrol record,drumrol record,100.0,51664
six cours music grouprca record,six cours music grouprca record,100.0,51667
spaceship record empir,spaceship record empir,100.0,51668
4079389 record dk,4079389 record dk,100.0,51669
nkosazana daughter,nkosazana daughter,100.0,51710
mercuri recordsrepubl record,mercuri recordsrepubl record,100.0,51753
ndlovukazi entertain,ndlovukazi entertain,100.0,51794
redbox entertain,redbox entertain,100.0,51795
emazulwini product,emazulwini product,100.0,51835
sginci medium empir,sginci medium empir,100.0,51977
yonder music,yonder music,100.0,52075
groov nativ product,groov nativ product,100.0,52076
groov nativ,groov nativ,100.0,52101
lb record,lb record,100.0,52102
big brother,big brother,100.0,52106
2024 ovmbrlvrn record love renaiss,2024 ovmbrlvrn record love renaiss,100.0,52126
3054065 record dk,3054065 record dk,100.0,52140
clava,clava,100.0,52155
slaughter gang llcepicqu control musicmotowncapitolboominati worldwiderepubl,slaughter gang llcepicqu control musicmotowncapitolboominati worldwiderepubl,100.0,52208
olefi music,olefi music,100.0,52250
olivia rodrigo p,olivia rodrigo p,100.0,52293
keyqaad,keyqaad,100.0,52631
strxxta wxrld,strxxta wxrld,100.0,52643
mosley interscop,mosley interscop,100.0,52646
mosley musicinterscop record,mosley musicinterscop record,100.0,52762
the ashm hour record,the ashm hour record,100.0,52885
strictli music concept,strictli music concept,100.0,53274
cooper entertain,cooper entertain,100.0,53276
ama roto entertain,ama roto entertain,100.0,53317
dcd2 fuel by ramen,dcd2 fuel by ramen,100.0,53388
decaydancefuel by ramen,decaydancefuel by ramen,100.0,53514
luna rise music,luna rise music,100.0,53522
black crow record,black crow record,100.0,53543
paul mccartney catalog,paul mccartney catalog,100.0,53549
the ccp record compani pti limit,the ccp record compani pti limit,100.0,53668
petit biscuit music,petit biscuit music,100.0,53669
dream chaser music,dream chaser music,100.0,53670
riidiimacool,riidiimacool,100.0,53679
rii collect,rii collect,100.0,53711
4144611 record dk,4144611 record dk,100.0,53713
piano citi,piano citi,100.0,53716
awg label,awg label,100.0,53762
awgeinterscop record,awgeinterscop record,100.0,53764
bearthday music,bearthday music,100.0,53908
victor victor worldwid,victor victor worldwid,100.0,53910
victor victor worldwid republ record,victor victor worldwid republ record,100.0,53913
victor victor worldwiderepubl record,victor victor worldwiderepubl record,100.0,53927
mercuri record republ record,mercuri record republ record,100.0,55051
steyn entertain,steyn entertain,100.0,55871
stay low,stay low,100.0,55872
lane record,lane record,100.0,55875
pushkin and springl,pushkin and springl,100.0,56046
pushkin springl,pushkin springl,100.0,56049
fyve,fyve,100.0,56051
cloud9n entertain,cloud9n entertain,100.0,56162
entitydeep medium agenc,entitydeep medium agenc,100.0,56288
cyb3rpvnk,cyb3rpvnk,100.0,56421
human re sourc,human re sourc,100.0,56440
best laid planscolumbia,best laid planscolumbia,100.0,56529
ministri of sound record,ministri of sound record,100.0,56670
mostiko,mostiko,100.0,56766
mavin recordsjonz world,mavin recordsjonz world,100.0,56788
mavin record jonz world,mavin record jonz world,100.0,56864
winnkay music,winnkay music,100.0,56917
internet money record 10k project,internet money record 10k project,100.0,57289
rich the kid tdeisr p,rich the kid tdeisr p,100.0,57298
richi mitch the coal miner,richi mitch the coal miner,100.0,57342
maybach music group under exclus licens to gamma,maybach music group under exclus licens to gamma,100.0,57355
roc nation rihanna,roc nation rihanna,100.0,57419
anolabex pti,anolabex pti,100.0,57504
mabala nois entertain,mabala nois entertain,100.0,57515
wm germani,wm germani,100.0,57695
dryden street,dryden street,100.0,57699
silver merci,silver merci,100.0,57702
nvak collect,nvak collect,100.0,57891
sedi la keba,sedi la keba,100.0,57919
promis land record,promis land record,100.0,58023
rus my way,rus my way,100.0,58039
diemon ed sheeran appear courtesi of asylum record,diemon ed sheeran appear courtesi of asylum record,100.0,58045
5660561 record dk,5660561 record dk,100.0,58269
sale,sale,100.0,58387
photo finish record,photo finish record,100.0,58389
jozi entertain,jozi entertain,100.0,60404
supta,supta,100.0,58435
top dawg entertainmentrca record,top dawg entertainmentrca record,100.0,58454
hybrid music collect,hybrid music collect,100.0,59068
vmghybrid,vmghybrid,100.0,59071
indoni music product and event,indoni music product and event,100.0,59073
spinnin remix,spinnin remix,100.0,59322
capitol record emi,capitol record emi,100.0,59873
youbuntu,youbuntu,100.0,59941
sanni jama,sanni jama,100.0,59990
sanner music,sanner music,100.0,60009
icywarn record,icywarn record,100.0,60019
icyartistri recordswarn record,icyartistri recordswarn record,100.0,60049
the t effect,the t effect,100.0,60059
sayfar pti,sayfar pti,100.0,60060
top dawg entertainmentinterscop record,top dawg entertainmentinterscop record,100.0,60063
gipa entertain,gipa entertain,100.0,60084
scott maphuma,scott maphuma,100.0,60102
sweet jane record,sweet jane record,100.0,60116
univers music a,univers music a,100.0,60129
selena gomez latin project,selena gomez latin project,100.0,60230
selena gomez p,selena gomez p,100.0,60329
jozi entertain,jozi entertain,100.0,60404
the oat record,the oat record,100.0,60454
liftedsoul entertain,liftedsoul entertain,100.0,60513
twist eleg,twist eleg,100.0,60532
gamma atlant record,gamma atlant record,100.0,60539
open shiftgamma,open shiftgamma,100.0,60541
rebelgamma,rebelgamma,100.0,60542
sfarzo rtee music pti,sfarzo rtee music pti,100.0,60543
rethabil setwaba,rethabil setwaba,100.0,60551
,ye,0.0,0
black major,black major,100.0,60557
american dogwood empir,american dogwood empir,100.0,60655
bos entertain pti,bos entertain pti,100.0,60708
kreativ kornerr,kreativ kornerr,100.0,60790
shandesh music,shandesh music,100.0,60807
loudnois musiq,loudnois musiq,100.0,60814
eagl entertain,eagl entertain,100.0,60839
kgaday,kgaday,100.0,60843
shawn mend lp45 island,shawn mend lp45 island,100.0,61106
the royal medium hous group,the royal medium hous group,100.0,61425
4596337 record dk,4596337 record dk,100.0,61474
naqua product,naqua product,100.0,61475
cactu jack records good music interscop record,cactu jack records good music interscop record,100.0,61504
flourish and multipli,flourish and multipli,100.0,61590
hell beach,hell beach,100.0,61609
monkey puzzl recordsrca record,monkey puzzl recordsrca record,100.0,61649
monkey puzzleatlant,monkey puzzleatlant,100.0,61659
sino msolo record,sino msolo record,100.0,61787
sir trill music,sir trill music,100.0,61796
sista prodatlant,sista prodatlant,100.0,61805
kotin record,kotin record,100.0,61806
sizw nineteen,sizw nineteen,100.0,61817
1020 cartel,1020 cartel,100.0,61838
sjavasdadeejay,sjavasdadeejay,100.0,61981
owslaatlant,owslaatlant,100.0,62020
shadi recordsinterscop record,shadi recordsinterscop record,100.0,62023
1211 group,1211 group,100.0,62027
winner circlerca record,winner circlerca record,100.0,62034
winner circl entertain empir,winner circl entertain empir,100.0,62091
roadrunn record,roadrunn record,100.0,62108
2179018 record dk,2179018 record dk,100.0,62119
maskandi heavyweight empir,maskandi heavyweight empir,100.0,62129
artium record under exclus licens to roc nation record,artium record under exclus licens to roc nation record,100.0,62188
artium record,artium record,100.0,62190
soa music group,soa music group,100.0,62206
soa famili,soa famili,100.0,62267
silent record social hous,silent record social hous,100.0,62408
wea latina,wea latina,100.0,62416
ultra record,ultra record,100.0,62420
saint recordscolumbia,saint recordscolumbia,100.0,62433
soni music special project,soni music special project,100.0,62440
sonder,sonder,100.0,62463
sonder global,sonder global,100.0,62495
sonwabil,sonwabil,100.0,62497
spirit music,spirit music,100.0,62509
spoegwolf pti,spoegwolf pti,100.0,62701
spoegwolf pti,spoegwolf pti,100.0,62701
rebel music p,rebel music p,100.0,62709
tint record,tint record,100.0,62729
lm recordsrca record,lm recordsrca record,100.0,62806
three quarter,three quarter,100.0,62843
stillaround,stillaround,100.0,62860
earli am,earli am,100.0,62877
earli am,earli am,100.0,62877
stixx music hous,stixx music hous,100.0,62908
merki record,merki record,100.0,62930
republ record stray kid,republ record stray kid,100.0,62935
riot game,riot game,100.0,62936
under sun,under sun,100.0,63456
el world music,el world music,100.0,63457
el world,el world,100.0,63484
elworld,elworld,100.0,63563
the seventh day under exclus licens to inkanyezi hold 2023,the seventh day under exclus licens to inkanyezi hold 2023,100.0,63616
superstar pride,superstar pride,100.0,63627
superstar pride under exclus licens to unitedmast,superstar pride under exclus licens to unitedmast,100.0,63630
surf cur,surf cur,100.0,63640
surfac tenthousand project,surfac tenthousand project,100.0,63689
sushi way,sushi way,100.0,63735
eardruma recordsinterscop record,eardruma recordsinterscop record,100.0,63748
theblacklabelinterscop record,theblacklabelinterscop record,100.0,63813
rang musiccapitol record,rang musiccapitol record,100.0,63814
farmhau,farmhau,100.0,63824
bathath wena,bathath wena,100.0,63825
soni music entertain,soni music entertain,100.0,63826
4348954 record dk,4348954 record dk,100.0,63832
aristalafac record,aristalafac record,100.0,63904
blac noiz record,blac noiz record,100.0,63959
toss indabakabani,toss indabakabani,100.0,63962
elektra record,elektra record,100.0,64217
taylor swift,taylor swift,100.0,64429
big machin record,big machin record,100.0,64542
music band product empir,music band product empir,100.0,64923
tebza de dj music,tebza de dj music,100.0,64952
tebza de dj empir,tebza de dj empir,100.0,64953
4374710 record dk,4374710 record dk,100.0,65078
sinc 93rca record,sinc 93rca record,100.0,65098
rca recordssinc 93,rca recordssinc 93,100.0,65100
lead vibe,lead vibe,100.0,65102
warner recordsqwest,warner recordsqwest,100.0,65333
thakso ujey choir,thakso ujey choir,100.0,65380
lugaju entertain pti,lugaju entertain pti,100.0,65402
parkwood entertainmentroc nation,parkwood entertainmentroc nation,100.0,65410
100 entertain,100 entertain,100.0,66058
the lowkey 012 record,the lowkey 012 record,100.0,66337
xo republ record,xo republ record,100.0,66571
univers republ record,univers republ record,100.0,66811
theun jordaan product cc,theun jordaan product cc,100.0,67677
2wobunni,2wobunni,100.0,67678
thxsomch,thxsomch,100.0,67683
tinash music under exclus licens to nice life record compani,tinash music under exclus licens to nice life record compani,100.0,67703
boundari entertain,boundari entertain,100.0,68013
boundari spaceship,boundari spaceship,100.0,68019
titom,titom,100.0,68031
tayo project modar music,tayo project modar music,100.0,68060
itnocolumbia,itnocolumbia,100.0,68061
pul record,pul record,100.0,68198
iso supremaci under exclus licens to pul record,iso supremaci under exclus licens to pul record,100.0,68209
big boy record under exclus licenc to modar,big boy record under exclus licenc to modar,100.0,68428
83 manag group,83 manag group,100.0,68429
south coast music groupcapitol record,south coast music groupcapitol record,100.0,68440
soni soho squar,soni soho squar,100.0,68535
mad loveinterscop record,mad loveinterscop record,100.0,68536
one umbrella record,one umbrella record,100.0,68554
cactu jack epic grand hustl,cactu jack epic grand hustl,100.0,68617
epicgrand hustlecactu jack,epicgrand hustlecactu jack,100.0,68621
cactu jackep,cactu jackep,100.0,68679
warner bros entertain,warner bros entertain,100.0,69219
epicgrand hustl,epicgrand hustl,100.0,69251
trrr 015 entertain,trrr 015 entertain,100.0,69422
run it up recordsisland,run it up recordsisland,100.0,69426
tenthousand project,tenthousand project,100.0,69430
1400 entertain tenthousand project,1400 entertain tenthousand project,100.0,69431
1400 entertain 10k project,1400 entertain 10k project,100.0,69434
1400 entertain 10k project,1400 entertain 10k project,100.0,69434
emi record music australia pti,emi record music australia pti,100.0,69462
fuel by ramen,fuel by ramen,100.0,69508
txc enterpris pti under exclus licens to lvrn record love renaiss,txc enterpris pti under exclus licens to lvrn record love renaiss,100.0,69554
2024 txc enterpris lvrn record,2024 txc enterpris lvrn record,100.0,69574
tyza wav,tyza wav,100.0,69619
columbialast king record,columbialast king record,100.0,69635
last king music empir,last king music empir,100.0,69641
kemosab rca record last king music empir,kemosab rca record last king music empir,100.0,69645
fax recordsep,fax recordsep,100.0,69747
epiclondon,epiclondon,100.0,69964
2023 focu clap music group,2023 focu clap music group,100.0,70335
3490297 record dk,3490297 record dk,100.0,70366
lafac record,lafac record,100.0,70369
megagamma,megagamma,100.0,70396
kuhleliw mmema hold,kuhleliw mmema hold,100.0,70399
1962225 record dk,1962225 record dk,100.0,70515
the govern,the govern,100.0,70549
kosign pti encor record,kosign pti encor record,100.0,70550
encor record,encor record,100.0,70571
kosign pti,kosign pti,100.0,70703
gamma africa,gamma africa,100.0,70739
5612124 record dk,5612124 record dk,100.0,70752
2024 all star entiti under exclus licens to saak industri,2024 all star entiti under exclus licens to saak industri,100.0,70755
quxtaru,quxtaru,100.0,70770
fstop recordsatlant,fstop recordsatlant,100.0,70825
new wav music group island prolif empir,new wav music group island prolif empir,100.0,70893
vhudi music,vhudi music,100.0,70957
the plug entertain,the plug entertain,100.0,70958
encor record,encor record,100.0,70571
lovett musicrca record,lovett musicrca record,100.0,70979
rins,rins,100.0,71007
muthaland entertain,muthaland entertain,100.0,71051
cypha muthaland,cypha muthaland,100.0,71054
roc nation w smith p d,roc nation w smith p d,100.0,71076
soldout medium,soldout medium,100.0,71103
mmgwarner record,mmgwarner record,100.0,71136
rufftown record,rufftown record,100.0,71404
aristalegaci,aristalegaci,100.0,71433
arista recordscolumbia record,arista recordscolumbia record,100.0,71443
kaofela re mapantsula,kaofela re mapantsula,100.0,71503
taylor gangatlant,taylor gangatlant,100.0,71504
starboyrca record,starboyrca record,100.0,71515
bamboo artist,bamboo artist,100.0,71573
bad vibe forev,bad vibe forev,100.0,71580
bad vibe forev empir,bad vibe forev empir,100.0,71604
member onli empir,member onli empir,100.0,72273
4604783 record dk,4604783 record dk,100.0,72344
yanii entertain,yanii entertain,100.0,72506
yg marley music,yg marley music,100.0,72558
yg marley musichitmak distro,yg marley musichitmak distro,100.0,72568
p2019,p2019,100.0,72581
p2018,p2018,100.0,72591
locomot recordingsgeffen record,locomot recordingsgeffen record,100.0,72650
young legend music,young legend music,100.0,72663
field trip recordingscapitol record,field trip recordingscapitol record,100.0,72688
twizzyrich,twizzyrich,100.0,72691
field trip recordingsgeffen record,field trip recordingsgeffen record,100.0,72694
pde recordssam platerca record,pde recordssam platerca record,100.0,72712
300 entertainmentatl,300 entertainmentatl,100.0,72896
epic300 entertainmentatlant record corpor,epic300 entertainmentatlant record corpor,100.0,73031
yummi entertain,yummi entertain,100.0,73032
year0001,year0001,100.0,73036
zain s world,zain s world,100.0,73102
itsotsi by natur,itsotsi by natur,100.0,73161
live rich entertain,live rich entertain,100.0,73163
epicrecord compani ten,epicrecord compani ten,100.0,73189
kwanxumalo,kwanxumalo,100.0,73501
5542405 record dk,5542405 record dk,100.0,73554
earthquak record,earthquak record,100.0,73580
6551244 record dk,6551244 record dk,100.0,73583
octoba 7ven,octoba 7ven,100.0,73643
friend keep secretsinterscop record,friend keep secretsinterscop record,100.0,73644
benni blanco solo album p,benni blanco solo album p,100.0,73650
friend keep secret under exclus licens to interscop record,friend keep secret under exclus licens to interscop record,100.0,73803
neon16friend keep secretsinterscop record,neon16friend keep secretsinterscop record,100.0,73807
interscop friend keep secret joytim collect,interscop friend keep secret joytim collect,100.0,73847
onnafriday record island record,onnafriday record island record,100.0,73940
tgr music group,tgr music group,100.0,73990
scmg sce empir,scmg sce empir,100.0,74018
parti in backyard,parti in backyard,100.0,74026
leola,leola,100.0,74027
homemad project tenthousand project,homemad project tenthousand project,100.0,74037
the king will come,the king will come,100.0,74049
mguzuguzu record,mguzuguzu record,100.0,74053
